target,model,seed,horizon,ws_rmse,ws_mae,wd_mae,windows
sd1042,Persistence,,1,0.6763477325439453,0.4722011387348175,6.762795925140381,3643
sd1042,Persistence,,2,0.8833706378936768,0.5989143252372742,8.706772804260254,3643
sd1042,Persistence,,3,1.0163209438323975,0.68474280834198,9.91296100616455,3643
sd1042,Persistence,,4,1.116957664489746,0.7679029107093811,10.911312103271484,3643
sd1042,Persistence,,5,1.2090741395950317,0.8285443782806396,11.772073745727539,3643
sd1042,Persistence,,6,1.2781895399093628,0.8828707933425903,12.8033447265625,3643
sd1042,Wind-Mamba,42.0,1,0.7579694986343384,0.5614994168281555,7.027896881103516,3643
sd1042,Wind-Mamba,42.0,2,0.8959745168685913,0.6173633337020874,8.695566177368164,3643
sd1042,Wind-Mamba,42.0,3,1.0414495468139648,0.7218251824378967,10.07060718536377,3643
sd1042,Wind-Mamba,42.0,4,1.1416995525360107,0.8054588437080383,11.040376663208008,3643
sd1042,Wind-Mamba,42.0,5,1.2327518463134766,0.8689775466918945,12.063396453857422,3643
sd1042,Wind-Mamba,42.0,6,1.3142614364624023,0.9337348937988281,13.074406623840332,3643
sd1042,Mamba,42.0,1,1.0377579927444458,0.7442150115966797,11.494921684265137,3643
sd1042,Mamba,42.0,2,1.1021021604537964,0.7746704816818237,12.67200756072998,3643
sd1042,Mamba,42.0,3,1.1984089612960815,0.8569684624671936,13.67351245880127,3643
sd1042,Mamba,42.0,4,1.267547369003296,0.9206283092498779,14.80522346496582,3643
sd1042,Mamba,42.0,5,1.337267518043518,0.9824875593185425,15.58863353729248,3643
sd1042,Mamba,42.0,6,1.3890477418899536,1.0256240367889404,16.488964080810547,3643
sd1042,Autoformer,42.0,1,0.9393258690834045,0.6874077916145325,9.939083099365234,3643
sd1042,Autoformer,42.0,2,1.0815503597259521,0.796650230884552,11.00146770477295,3643
sd1042,Autoformer,42.0,3,1.1972018480300903,0.89401775598526,12.353660583496094,3643
sd1042,Autoformer,42.0,4,1.2725508213043213,0.9562848210334778,13.345405578613281,3643
sd1042,Autoformer,42.0,5,1.356485366821289,1.0286171436309814,14.409032821655273,3643
sd1042,Autoformer,42.0,6,1.4267975091934204,1.085455060005188,15.648898124694824,3643
sd1042,Wind-Mamba,43.0,1,0.6857631206512451,0.4860236644744873,6.749985218048096,3643
sd1042,Wind-Mamba,43.0,2,0.8819547295570374,0.6028451919555664,8.584763526916504,3643
sd1042,Wind-Mamba,43.0,3,1.0245938301086426,0.7053787112236023,9.83082103729248,3643
sd1042,Wind-Mamba,43.0,4,1.1186730861663818,0.782738208770752,10.81356143951416,3643
sd1042,Wind-Mamba,43.0,5,1.207153558731079,0.8422630429267883,11.743073463439941,3643
sd1042,Wind-Mamba,43.0,6,1.279107689857483,0.8987712264060974,12.791322708129883,3643
sd1042,Mamba,43.0,1,0.9588164687156677,0.6968635320663452,10.2198486328125,3643
sd1042,Mamba,43.0,2,1.1155283451080322,0.8164844512939453,11.970491409301758,3643
sd1042,Mamba,43.0,3,1.2405128479003906,0.912623941898346,12.569557189941406,3643
sd1042,Mamba,43.0,4,1.324853539466858,0.984326183795929,13.23676872253418,3643
sd1042,Mamba,43.0,5,1.4059325456619263,1.050648808479309,14.035907745361328,3643
sd1042,Mamba,43.0,6,1.4671863317489624,1.0983422994613647,14.792230606079102,3643
sd1042,Autoformer,43.0,1,1.099018931388855,0.7876683473587036,8.303824424743652,3643
sd1042,Autoformer,43.0,2,1.2456879615783691,0.9042832851409912,9.707056999206543,3643
sd1042,Autoformer,43.0,3,1.3408094644546509,0.988568902015686,10.808862686157227,3643
sd1042,Autoformer,43.0,4,1.416996717453003,1.0591001510620117,11.673087120056152,3643
sd1042,Autoformer,43.0,5,1.4719794988632202,1.1096519231796265,12.45068359375,3643
sd1042,Autoformer,43.0,6,1.5271849632263184,1.1546710729599,13.336956024169922,3643
sd1042,Wind-Mamba,44.0,1,0.6965547204017639,0.4975461959838867,6.913687705993652,3643
sd1042,Wind-Mamba,44.0,2,0.8904720544815063,0.6158962845802307,8.778057098388672,3643
sd1042,Wind-Mamba,44.0,3,1.0248667001724243,0.7082316279411316,9.949501037597656,3643
sd1042,Wind-Mamba,44.0,4,1.1292439699172974,0.8015499114990234,10.974237442016602,3643
sd1042,Wind-Mamba,44.0,5,1.210598349571228,0.8540624976158142,11.839235305786133,3643
sd1042,Wind-Mamba,44.0,6,1.2831380367279053,0.9100348949432373,12.861671447753906,3643
sd1042,Mamba,44.0,1,0.9886972904205322,0.7031347155570984,11.075994491577148,3643
sd1042,Mamba,44.0,2,1.1164616346359253,0.8044242858886719,12.40468692779541,3643
sd1042,Mamba,44.0,3,1.2258204221725464,0.8918176293373108,13.449891090393066,3643
sd1042,Mamba,44.0,4,1.2951151132583618,0.947590708732605,14.086798667907715,3643
sd1042,Mamba,44.0,5,1.3736534118652344,1.0125010013580322,15.111942291259766,3643
sd1042,Mamba,44.0,6,1.4301997423171997,1.0558868646621704,15.834805488586426,3643
sd1042,Autoformer,44.0,1,0.9529626369476318,0.6741601228713989,8.563469886779785,3643
sd1042,Autoformer,44.0,2,1.0985422134399414,0.7819309830665588,9.76456069946289,3643
sd1042,Autoformer,44.0,3,1.200446367263794,0.8638361692428589,10.871877670288086,3643
sd1042,Autoformer,44.0,4,1.2937589883804321,0.9418107867240906,11.946518898010254,3643
