variant,target,regime,ws_rmse_mean,ws_mae_mean,wd_mae_mean,r2_mean,count_mean,ws_rmse_sample_std,ws_mae_sample_std,wd_mae_sample_std,r2_sample_std,count_sample_std
full_real_imag,sd1042,non_strong_gust,1.054427146911621,0.732709527015686,12.51762351989746,0.7997485309839248,13884.0,0.012060251290201022,0.013313827047740775,0.08214841073579537,0.004568565756599604,0.0
full_real_imag,sd1042,strong_gust,1.0704941272735595,0.72030268907547,6.10670280456543,0.8266722708940506,7974.0,0.02456769151411367,0.019943240079923482,0.13734961654537103,0.007964878082034714,0.0
full_real_imag,sd1091,non_strong_gust,0.7015084505081177,0.47237843871116636,7.085912132263184,0.8362547039985657,13062.0,0.004997189388491699,0.0029033593071520745,0.1020480138060494,0.0023319946769097956,0.0
full_real_imag,sd1091,strong_gust,0.9271772623062133,0.6800865173339844,6.734710788726806,0.041369712352752684,1242.0,0.040584119348430744,0.03295460740907638,0.22521084451423773,0.08587452254983426,0.0
full_real_imag,target_mean,non_strong_gust,0.8779677987098694,0.6025439828634263,9.801767826080322,0.8180016174912452,13473.0,0.006741738226923758,0.005868845220192982,0.05833096451523233,0.002656721012895019,0.0
full_real_imag,target_mean,strong_gust,0.9988356947898864,0.7001946032047272,6.420706796646118,0.43402099162340163,4608.0,0.022302000033995486,0.019930694735919387,0.13084748899332319,0.04258658529073813,0.0
magnitude_only_strict_zero_phase,sd1042,non_strong_gust,1.0684803009033204,0.7462615847587586,12.644306755065918,0.7943277806043625,13884.0,0.021867587496936843,0.02125394847937556,0.033469631428975515,0.008453281600584346,0.0
magnitude_only_strict_zero_phase,sd1042,strong_gust,1.080741858482361,0.7383546113967896,6.282817935943603,0.8233757853507996,7974.0,0.01737514435610058,0.02020124279710249,0.18424905655777285,0.00567583852261393,0.0
magnitude_only_strict_zero_phase,sd1091,non_strong_gust,0.7290817737579346,0.4911965012550354,7.404430770874024,0.8230862289667129,13062.0,0.013762413051847564,0.010718605114927221,0.11747470259276961,0.006695145763359805,0.0
magnitude_only_strict_zero_phase,sd1091,strong_gust,0.9548806071281433,0.7092139244079589,7.1871601104736325,-0.017944324016571044,1242.0,0.05534130523617924,0.0606627411134601,0.19640999444690388,0.12065438089293498,0.0
magnitude_only_strict_zero_phase,target_mean,non_strong_gust,0.8987810373306274,0.618729043006897,10.02436876296997,0.8087070047855377,13473.0,0.014333101080825653,0.013154730108206525,0.05547954656703283,0.006009298313563747,0.0
magnitude_only_strict_zero_phase,target_mean,strong_gust,1.017811232805252,0.7237842679023743,6.734989023208618,0.40271573066711425,4608.0,0.02969606120708044,0.03221897429951954,0.16795322858526274,0.06057321464908475,0.0
no_fft,sd1042,non_strong_gust,1.063160276412964,0.7285921335220337,12.599682426452636,0.7964245826005936,13884.0,0.009999939367025711,0.009739571903950734,0.09741217290004855,0.0038390481584393873,0.0
no_fft,sd1042,strong_gust,1.0496150970458984,0.701781153678894,6.2586311340332035,0.8334140092134475,7974.0,0.014002747358321115,0.016445752343844832,0.0755550213627011,0.0044751331031411875,0.0
no_fft,sd1091,non_strong_gust,0.748152780532837,0.49549488425254823,7.349354362487793,0.8137374192476272,13062.0,0.009799543881292463,0.0032497449151598352,0.11535428049810445,0.004840566747468556,0.0
no_fft,sd1091,strong_gust,0.9564780712127685,0.6808940410614014,7.249873924255371,-0.01938983201980591,1242.0,0.0294756935481474,0.027664787627231468,0.08908430518515316,0.06162881966221562,0.0
no_fft,target_mean,non_strong_gust,0.9056565284729003,0.612043508887291,9.974518394470214,0.8050810009241104,13473.0,0.003239342177988927,0.003599665582102827,0.025039671236702362,0.001492758487057756,0.0
no_fft,target_mean,strong_gust,1.0030465841293335,0.6913375973701477,6.754252529144287,0.4070120885968208,4608.0,0.00809939409477077,0.007829452537157309,0.08180451383513918,0.02864256767035699,0.0
