variant,seed,target,regime,count,ws_rmse,ws_mae,wd_mae,r2
fixed4_submitted,42,sd1042,upper_tail,4488.0,1.1640361547470093,0.7597619891166687,5.386033535003662,0.46641772985458374
fixed4_submitted,42,sd1042,rapid_component_change,648.0,3.3337690830230713,2.789410352706909,53.052467346191406,0.35144686698913574
fixed4_submitted,42,sd1042,strong_gust,7974.0,1.1015242338180542,0.7473188042640686,6.327620506286621,0.8165555447340012
fixed4_submitted,42,sd1042,rapid_wd_change,2615.0,1.835068941116333,1.3247709274291992,41.76298141479492,0.6133001446723938
unbounded,42,sd1042,upper_tail,4488.0,1.1313997507095337,0.7327415347099304,5.466092109680176,0.4959186315536499
unbounded,42,sd1042,rapid_component_change,648.0,3.3964436054229736,2.8349335193634033,53.81683349609375,0.326832115650177
unbounded,42,sd1042,strong_gust,7974.0,1.0692332983016968,0.7174264788627625,6.286430835723877,0.8271531462669373
unbounded,42,sd1042,rapid_wd_change,2615.0,1.8548715114593506,1.3206567764282227,42.27772903442383,0.6049092411994934
fixed6,42,sd1042,upper_tail,4488.0,1.1654090881347656,0.7654373049736023,5.2781453132629395,0.46515828371047974
fixed6,42,sd1042,rapid_component_change,648.0,3.3381991386413574,2.7993528842926025,53.36009979248047,0.3497220277786255
fixed6,42,sd1042,strong_gust,7974.0,1.0998327732086182,0.7539737224578857,6.055756568908691,0.8171184957027435
fixed6,42,sd1042,rapid_wd_change,2615.0,1.8438886404037476,1.336766004562378,42.12578201293945,0.6095740795135498
training_derived_component,42,sd1042,upper_tail,4488.0,1.1404061317443848,0.7461221218109131,5.476329803466797,0.48786139488220215
training_derived_component,42,sd1042,rapid_component_change,648.0,3.349456787109375,2.78918194770813,53.644683837890625,0.3453286290168762
training_derived_component,42,sd1042,strong_gust,7974.0,1.0738385915756226,0.7281282544136047,6.212026119232178,0.8256610184907913
training_derived_component,42,sd1042,rapid_wd_change,2615.0,1.8320622444152832,1.3059239387512207,42.0715217590332,0.614566296339035
learnable_global_component,42,sd1042,upper_tail,4488.0,1.0945509672164917,0.7071064114570618,5.420666694641113,0.5282190144062042
learnable_global_component,42,sd1042,rapid_component_change,648.0,3.348013401031494,2.785339832305908,53.47882843017578,0.3458927273750305
learnable_global_component,42,sd1042,strong_gust,7974.0,1.0561286211013794,0.7133153676986694,6.199808597564697,0.8313640803098679
learnable_global_component,42,sd1042,rapid_wd_change,2615.0,1.8335658311843872,1.307403564453125,41.955875396728516,0.6139333546161652
fixed4_submitted,42,sd1091,upper_tail,144.0,2.043519973754883,1.7281826734542847,8.526918411254883,-20.90509033203125
fixed4_submitted,42,sd1091,rapid_component_change,192.0,2.344273567199707,1.9724540710449219,51.67014694213867,0.2099742889404297
fixed4_submitted,42,sd1091,strong_gust,1242.0,0.9057586193084717,0.6625899076461792,6.5722575187683105,0.08654868602752686
fixed4_submitted,42,sd1091,rapid_wd_change,776.0,1.4749174118041992,1.085372805595398,36.008644104003906,0.7193475365638733
unbounded,42,sd1091,upper_tail,144.0,2.0023603439331055,1.6637614965438843,8.565802574157715,-20.031574249267578
unbounded,42,sd1091,rapid_component_change,192.0,2.3466293811798096,1.948006510734558,51.42000198364258,0.20838558673858643
unbounded,42,sd1091,strong_gust,1242.0,0.9120925068855286,0.6625062227249146,6.61973762512207,0.07372874021530151
unbounded,42,sd1091,rapid_wd_change,776.0,1.5133110284805298,1.0942063331604004,36.61595916748047,0.7045460045337677
fixed6,42,sd1091,upper_tail,144.0,1.940319538116455,1.5949920415878296,8.594608306884766,-18.74848747253418
fixed6,42,sd1091,rapid_component_change,192.0,2.3416900634765625,1.9556165933609009,51.07065200805664,0.21171468496322632
fixed6,42,sd1091,strong_gust,1242.0,0.9072815179824829,0.6592337489128113,6.8129143714904785,0.08347445726394653
fixed6,42,sd1091,rapid_wd_change,776.0,1.4528132677078247,1.0555813312530518,36.413143157958984,0.7276966273784637
training_derived_component,42,sd1091,upper_tail,144.0,2.0482025146484375,1.7438212633132935,8.744600296020508,-21.00559425354004
training_derived_component,42,sd1091,rapid_component_change,192.0,2.3793981075286865,2.007260322570801,51.975128173828125,0.18612277507781982
training_derived_component,42,sd1091,strong_gust,1242.0,0.937568187713623,0.6901670694351196,6.716845512390137,0.021262645721435547
training_derived_component,42,sd1091,rapid_wd_change,776.0,1.5122830867767334,1.1024549007415771,36.92818832397461,0.7049472630023956
learnable_global_component,42,sd1091,upper_tail,144.0,2.004814863204956,1.6818673610687256,8.803464889526367,-20.083168029785156
learnable_global_component,42,sd1091,rapid_component_change,192.0,2.3723809719085693,2.004065752029419,51.83620071411133,0.1909162998199463
learnable_global_component,42,sd1091,strong_gust,1242.0,0.911919891834259,0.6669437885284424,6.74172830581665,0.07407921552658081
learnable_global_component,42,sd1091,rapid_wd_change,776.0,1.472743034362793,1.0718916654586792,36.05668258666992,0.7201744318008423
fixed4_submitted,43,sd1042,upper_tail,4488.0,1.0543588399887085,0.6714968085289001,5.229889869689941,0.56223064661026
fixed4_submitted,43,sd1042,rapid_component_change,648.0,3.3775277137756348,2.814565658569336,54.077239990234375,0.3343093991279602
fixed4_submitted,43,sd1042,strong_gust,7974.0,1.0423521995544434,0.6996393203735352,6.043116092681885,0.8357348144054413
fixed4_submitted,43,sd1042,rapid_wd_change,2615.0,1.8577979803085327,1.3274739980697632,42.20317459106445,0.6036615669727325
unbounded,43,sd1042,upper_tail,4488.0,1.0888882875442505,0.7043893337249756,5.434483051300049,0.5330879092216492
unbounded,43,sd1042,rapid_component_change,648.0,3.3829405307769775,2.811483860015869,53.57869338989258,0.3321739435195923
unbounded,43,sd1042,strong_gust,7974.0,1.040635108947754,0.6953377723693848,6.221009731292725,0.8362755924463272
unbounded,43,sd1042,rapid_wd_change,2615.0,1.844396948814392,1.3075752258300781,42.48155975341797,0.6093588173389435
fixed6,43,sd1042,upper_tail,4488.0,1.1425310373306274,0.7234216332435608,5.247745513916016,0.4859510064125061
fixed6,43,sd1042,rapid_component_change,648.0,3.3881547451019287,2.842193126678467,53.327972412109375,0.3301137089729309
fixed6,43,sd1042,strong_gust,7974.0,1.06758713722229,0.7158990502357483,6.179509162902832,0.8276849687099457
fixed6,43,sd1042,rapid_wd_change,2615.0,1.8626197576522827,1.3349441289901733,41.41086196899414,0.6016015410423279
training_derived_component,43,sd1042,upper_tail,4488.0,1.0510282516479492,0.6720865964889526,5.295921325683594,0.5649920403957367
training_derived_component,43,sd1042,rapid_component_change,648.0,3.357215404510498,2.7982370853424072,53.334564208984375,0.3422921299934387
training_derived_component,43,sd1042,strong_gust,7974.0,1.0526764392852783,0.704584538936615,6.165192604064941,0.832464724779129
training_derived_component,43,sd1042,rapid_wd_change,2615.0,1.8515269756317139,1.3226412534713745,42.03632354736328,0.6063326895236969
learnable_global_component,43,sd1042,upper_tail,4488.0,1.0602152347564697,0.6805547475814819,5.314023017883301,0.5573540031909943
learnable_global_component,43,sd1042,rapid_component_change,648.0,3.3605871200561523,2.7949070930480957,53.041839599609375,0.34097039699554443
learnable_global_component,43,sd1042,strong_gust,7974.0,1.0531240701675415,0.7043785452842712,6.160876274108887,0.8323222100734711
learnable_global_component,43,sd1042,rapid_wd_change,2615.0,1.8495051860809326,1.3172351121902466,41.968570709228516,0.6071919500827789
fixed4_submitted,43,sd1091,upper_tail,144.0,1.9795513153076172,1.6302604675292969,8.426834106445312,-19.555158615112305
fixed4_submitted,43,sd1091,rapid_component_change,192.0,2.4545669555664062,2.036494016647339,51.21406936645508,0.1338874101638794
fixed4_submitted,43,sd1091,strong_gust,1242.0,0.9241259098052979,0.6746166944503784,6.589807510375977,0.049126505851745605
fixed4_submitted,43,sd1091,rapid_wd_change,776.0,1.510255217552185,1.0878287553787231,35.94176483154297,0.7057380676269531
unbounded,43,sd1091,upper_tail,144.0,2.024305820465088,1.6647008657455444,9.024909019470215,-20.49510383605957
unbounded,43,sd1091,rapid_component_change,192.0,2.425687074661255,2.045609474182129,52.939422607421875,0.15414834022521973
unbounded,43,sd1091,strong_gust,1242.0,0.9394122362136841,0.6790810823440552,6.949819564819336,0.01740872859954834
unbounded,43,sd1091,rapid_wd_change,776.0,1.5109014511108398,1.1002036333084106,36.05095672607422,0.7054861187934875
fixed6,43,sd1091,upper_tail,144.0,1.9650086164474487,1.5988452434539795,8.379530906677246,-19.254255294799805
fixed6,43,sd1091,rapid_component_change,192.0,2.5148398876190186,2.097578763961792,50.6706657409668,0.09082955121994019
fixed6,43,sd1091,strong_gust,1242.0,0.9080800414085388,0.6614354252815247,6.677215576171875,0.0818604826927185
fixed6,43,sd1091,rapid_wd_change,776.0,1.5043742656707764,1.0957512855529785,36.12862777709961,0.7080252766609192
training_derived_component,43,sd1091,upper_tail,144.0,1.9823853969573975,1.6458358764648438,8.906492233276367,-19.614059448242188
training_derived_component,43,sd1091,rapid_component_change,192.0,2.4534101486206055,2.0624001026153564,51.80927658081055,0.13470345735549927
training_derived_component,43,sd1091,strong_gust,1242.0,0.9129520058631897,0.6659765243530273,6.579197406768799,0.07198214530944824
training_derived_component,43,sd1091,rapid_wd_change,776.0,1.52371084690094,1.1008821725845337,36.66795349121094,0.7004711925983429
learnable_global_component,43,sd1091,upper_tail,144.0,2.040072441101074,1.72096586227417,8.926403045654297,-20.83124542236328
learnable_global_component,43,sd1091,rapid_component_change,192.0,2.445051670074463,2.0537402629852295,51.86366653442383,0.14058947563171387
learnable_global_component,43,sd1091,strong_gust,1242.0,0.9435026049613953,0.6949382424354553,6.792699813842773,0.008833467960357666
learnable_global_component,43,sd1091,rapid_wd_change,776.0,1.4957079887390137,1.0809561014175415,37.12602233886719,0.7113795280456543
fixed4_submitted,44,sd1042,upper_tail,4488.0,1.1515392065048218,0.7525243759155273,5.363534450531006,0.47781312465667725
fixed4_submitted,44,sd1042,rapid_component_change,648.0,3.320925712585449,2.7760732173919678,54.639068603515625,0.35643428564071655
fixed4_submitted,44,sd1042,strong_gust,7974.0,1.0671249628067017,0.7251459360122681,6.140346050262451,0.8278341442346573
fixed4_submitted,44,sd1042,rapid_wd_change,2615.0,1.820229172706604,1.3126622438430786,42.900054931640625,0.6195291578769684
unbounded,44,sd1042,upper_tail,4488.0,1.0958045721054077,0.7042461037635803,5.258021354675293,0.5271377265453339
unbounded,44,sd1042,rapid_component_change,648.0,3.341834306716919,2.778881072998047,53.011138916015625,0.3483049273490906
unbounded,44,sd1042,strong_gust,7974.0,1.030800461769104,0.6926594972610474,6.061936378479004,0.8393555283546448
unbounded,44,sd1042,rapid_wd_change,2615.0,1.8298050165176392,1.3042570352554321,42.32915115356445,0.6155155003070831
fixed6,44,sd1042,upper_tail,4488.0,1.1848164796829224,0.8004591464996338,5.328624725341797,0.4471966624259949
fixed6,44,sd1042,rapid_component_change,648.0,3.3629708290100098,2.804537296295166,53.715518951416016,0.3400351405143738
fixed6,44,sd1042,strong_gust,7974.0,1.0727107524871826,0.7350324392318726,6.107966899871826,0.8260270357131958
fixed6,44,sd1042,rapid_wd_change,2615.0,1.8352307081222534,1.3089812994003296,42.5600700378418,0.6132319569587708
training_derived_component,44,sd1042,upper_tail,4488.0,1.1496349573135376,0.7541665434837341,5.288090229034424,0.47953879833221436
training_derived_component,44,sd1042,rapid_component_change,648.0,3.376929759979248,2.8032407760620117,53.46651840209961,0.3345451354980469
training_derived_component,44,sd1042,strong_gust,7974.0,1.053888201713562,0.7104324698448181,6.096999645233154,0.8320787847042084
training_derived_component,44,sd1042,rapid_wd_change,2615.0,1.8385460376739502,1.3084863424301147,42.12401580810547,0.6118333339691162
learnable_global_component,44,sd1042,upper_tail,4488.0,1.1107109785079956,0.7253689765930176,5.267280578613281,0.5141853392124176
learnable_global_component,44,sd1042,rapid_component_change,648.0,3.397468328475952,2.8216357231140137,53.956336975097656,0.32642585039138794
learnable_global_component,44,sd1042,strong_gust,7974.0,1.0422375202178955,0.6990718245506287,6.095782279968262,0.8357709795236588
learnable_global_component,44,sd1042,rapid_wd_change,2615.0,1.8599814176559448,1.3186672925949097,42.66423797607422,0.6027293801307678
fixed4_submitted,44,sd1091,upper_tail,144.0,2.1337316036224365,1.804312825202942,8.953052520751953,-22.881790161132812
fixed4_submitted,44,sd1091,rapid_component_change,192.0,2.4756293296813965,2.0758285522460938,51.716426849365234,0.11895948648452759
fixed4_submitted,44,sd1091,strong_gust,1242.0,0.9973979592323303,0.7381238341331482,7.117847919464111,-0.10763680934906006
fixed4_submitted,44,sd1091,rapid_wd_change,776.0,1.4832249879837036,1.0756579637527466,36.33625411987305,0.7161770462989807
unbounded,44,sd1091,upper_tail,144.0,2.017432928085327,1.6806246042251587,8.511611938476562,-20.34939193725586
unbounded,44,sd1091,rapid_component_change,192.0,2.447784900665283,2.0373337268829346,52.00100326538086,0.13866692781448364
unbounded,44,sd1091,strong_gust,1242.0,0.9273089170455933,0.686561644077301,6.99518346786499,0.042564988136291504
