variant,seed,target,checkpoint,prediction_path,parameter_count,threshold,upper_tail_count,upper_tail_ratio,upper_tail_ws_rmse,overall_count,ws_rmse,ws_mae,wd_mae,r2,learned_bound_u,learned_bound_v,count
dir_cos_unweighted,45,sd1042,not_released,not_released,512595.0,10.580439745930407,4488.0,0.20532528136151523,1.159071445465088,21858.0,1.0663261413574219,0.7343397736549377,10.178635597229004,0.889231838285923,,,
upper_tail_weighted_dir_cos_training_p95,45,sd1042,not_released,not_released,512595.0,10.580439745930407,4488.0,0.20532528136151523,1.3162052631378174,21858.0,1.0848443508148191,0.74466472864151,10.08363151550293,0.8853511661291122,4.0,4.0,21858.0
dir_l1_unweighted,45,sd1091,not_released,not_released,512595.0,10.580439745930407,144.0,0.010067114093959731,2.0116491317749023,14304.0,0.725785493850708,0.49035316705703735,7.065718173980713,0.8588570058345795,,,
dir_cos_unweighted,45,sd1091,not_released,not_released,512595.0,10.580439745930407,144.0,0.010067114093959731,2.081256866455078,14304.0,0.7233748435974121,0.4894474148750305,7.1118950843811035,0.8597930669784546,,,
upper_tail_weighted_dir_cos_training_p95,45,sd1091,not_released,not_released,512595.0,10.580439745930407,144.0,0.010067114093959731,1.9656169414520264,14304.0,0.7311496734619141,0.494375079870224,7.297328472137451,0.8567629754543304,4.0,4.0,14304.0
dir_l1_unweighted,46,sd1042,not_released,not_released,512595.0,10.580439745930407,4488.0,0.20532528136151523,1.116663932800293,21858.0,1.0483615398406982,0.7100939750671387,10.108301162719727,0.8929326683282852,,,
dir_cos_unweighted,46,sd1042,not_released,not_released,512595.0,10.580439745930407,4488.0,0.20532528136151523,1.173650860786438,21858.0,1.0669409036636353,0.7335997223854065,10.254666328430176,0.8891040980815887,,,
upper_tail_weighted_dir_cos_training_p95,46,sd1042,not_released,not_released,512595.0,10.580439745930407,4488.0,0.20532528136151523,1.0791369676589966,21858.0,1.0527156591415403,0.7193118333816528,10.155709266662598,0.8920414596796036,4.0,4.0,21858.0
dir_l1_unweighted,46,sd1091,not_released,not_released,512595.0,10.580439745930407,144.0,0.010067114093959731,1.9346314668655396,14304.0,0.7224904298782349,0.4891294240951538,7.103785991668701,0.8601356893777847,,,
dir_cos_unweighted,46,sd1091,not_released,not_released,512595.0,10.580439745930407,144.0,0.010067114093959731,2.011157989501953,14304.0,0.7329212427139282,0.49892929196357727,7.4037275314331055,0.8560680001974106,,,
upper_tail_weighted_dir_cos_training_p95,46,sd1091,not_released,not_released,512595.0,10.580439745930407,144.0,0.010067114093959731,1.8888746500015259,14304.0,0.7234104871749878,0.4907742738723755,7.216181755065918,0.8597792237997055,4.0,4.0,14304.0
dir_cos_unweighted,42,target_mean,,,,10.580439745930407,2316.0,0.10769619772773747,1.5865585803985596,,0.9094950556755066,0.6170378029346466,8.853981733322144,0.8669148720800877,,,
dir_cos_unweighted,43,target_mean,,,,10.580439745930407,2316.0,0.10769619772773747,1.6000953912734985,,0.8905910551548004,0.607919842004776,8.50733995437622,0.8762499243021011,,,
dir_cos_unweighted,44,target_mean,,,,10.580439745930407,2316.0,0.10769619772773747,1.5893791913986206,,0.8881320059299469,0.6011345088481903,8.660667419433594,0.8752713054418564,,,
dir_cos_unweighted,45,target_mean,,,,10.580439745930407,2316.0,0.10769619772773747,1.620164155960083,,0.894850492477417,0.6118935942649841,8.645265340805054,0.8745124526321888,,,
dir_cos_unweighted,46,target_mean,,,,10.580439745930407,2316.0,0.10769619772773747,1.5924044251441956,,0.8999310731887817,0.6162645071744919,8.82919692993164,0.8725860491394997,,,
dir_l1_unweighted,42,target_mean,,,,10.580439745930407,2316.0,0.10769619772773747,1.5788320899009705,,0.891254335641861,0.6101682484149933,8.57981824874878,0.8755409456789494,,,
dir_l1_unweighted,43,target_mean,,,,10.580439745930407,2316.0,0.10769619772773747,1.5465571880340576,,0.8950477838516235,0.6080732345581055,8.557868242263794,0.8737326376140118,,,
dir_l1_unweighted,44,target_mean,,,,10.580439745930407,2316.0,0.10769619772773747,1.5576525926589966,,0.8873232901096344,0.6101026833057404,8.524610996246338,0.876676220446825,,,
dir_l1_unweighted,45,target_mean,,,,10.580439745930407,2316.0,0.10769619772773747,1.5885694026947021,,0.887376070022583,0.6042039394378662,8.601675271987915,0.87583302333951,,,
dir_l1_unweighted,46,target_mean,,,,10.580439745930407,2316.0,0.10769619772773747,1.5256476998329163,,0.8854259848594666,0.5996116995811462,8.606043577194214,0.876534178853035,,,
upper_tail_weighted_dir_cos_training_p95,42,target_mean,,,,10.580439745930407,2316.0,0.10769619772773747,1.5412002205848694,,0.8897006809711456,0.6105363667011261,8.652718782424927,0.876277506351471,,,
upper_tail_weighted_dir_cos_training_p95,43,target_mean,,,,10.580439745930407,2316.0,0.10769619772773747,1.5161162614822388,,0.8946020603179932,0.6094197779893875,8.601227283477783,0.8732120133936405,,,
upper_tail_weighted_dir_cos_training_p95,44,target_mean,,,,10.580439745930407,2316.0,0.10769619772773747,1.5504713654518127,,0.8900243043899536,0.606025367975235,8.824695587158203,0.8753101378679276,,,
upper_tail_weighted_dir_cos_training_p95,45,target_mean,,,,10.580439745930407,2316.0,0.10769619772773747,1.6409111022949219,,0.9079970121383666,0.619519904255867,8.69047999382019,0.8710570707917213,,,
upper_tail_weighted_dir_cos_training_p95,46,target_mean,,,,10.580439745930407,2316.0,0.10769619772773747,1.4840058088302612,,0.888063073158264,0.6050430536270142,8.685945510864258,0.8759103417396545,,,
