variant,seed,target,checkpoint,prediction_path,parameter_count,learned_bound_u,learned_bound_v,count,ws_rmse,ws_mae,wd_mae,r2
learnable_global_component,45,sd1091,not_released,not_released,512597.0,2.680395126342773,3.0524823665618896,14304.0,0.7208943367004395,0.4900102019309997,6.940342426300049,0.8607529699802399
fixed4_submitted,46,sd1042,not_released,not_released,512595.0,4.0,4.0,21858.0,1.0552384853363037,0.716543436050415,10.142930030822754,0.8915234059095383
unbounded,46,sd1042,not_released,not_released,512595.0,inf,inf,21858.0,1.0414855480194092,0.705906093120575,10.013168334960938,0.8943325206637383
fixed6,46,sd1042,not_released,not_released,512595.0,6.0,6.0,21858.0,1.0497456789016724,0.7135635614395142,10.175353050231934,0.89264976978302
training_derived_component,46,sd1042,not_released,not_released,512595.0,2.931263635389228,3.318888888962726,21858.0,1.055342197418213,0.7192655205726624,10.191373825073242,0.8915020748972893
learnable_global_component,46,sd1042,not_released,not_released,512597.0,2.722186803817749,3.0561861991882324,21858.0,1.0658316612243652,0.7348247766494751,10.207959175109863,0.8893345668911934
fixed4_submitted,46,sd1091,not_released,not_released,512595.0,4.0,4.0,14304.0,0.724479615688324,0.4910176396369934,7.211064338684082,0.859364464879036
unbounded,46,sd1091,not_released,not_released,512595.0,inf,inf,14304.0,0.7301815748214722,0.4929037094116211,7.094587326049805,0.8571420311927795
fixed6,46,sd1091,not_released,not_released,512595.0,6.0,6.0,14304.0,0.7302221655845642,0.4914326071739197,7.148723125457764,0.8571261465549469
training_derived_component,46,sd1091,not_released,not_released,512595.0,2.931263635389228,3.318888888962726,14304.0,0.7197338342666626,0.4875271320343017,7.144058704376221,0.8612009435892105
learnable_global_component,46,sd1091,not_released,not_released,512597.0,2.7216055393218994,3.0570485591888428,14304.0,0.7157201170921326,0.4865703582763672,7.092523097991943,0.8627446740865707
fixed4_submitted,42,target_mean,,,,,,18081.0,0.8987399637699127,0.6182139962911606,8.64958143234253,0.8743142262101173
fixed4_submitted,43,target_mean,,,,,,18081.0,0.8901644349098206,0.6059258133172989,8.55004596710205,0.8750451020896435
fixed4_submitted,44,target_mean,,,,,,18081.0,0.895167738199234,0.6135654896497726,8.661497831344604,0.8736226335167885
fixed4_submitted,45,target_mean,,,,,,18081.0,0.8869371116161346,0.6050064414739609,8.547573328018188,0.8765924088656902
fixed4_submitted,46,target_mean,,,,,,18081.0,0.8898590505123138,0.6037805378437042,8.676997184753418,0.8754439353942871
fixed6,42,target_mean,,,,,,18081.0,0.9016874432563782,0.6240781098604202,8.66483187675476,0.8737651780247688
fixed6,43,target_mean,,,,,,18081.0,0.8913704454898834,0.6062518507242203,8.562064170837402,0.8752145208418369
fixed6,44,target_mean,,,,,,18081.0,0.8918613195419312,0.6123653948307037,8.703235626220703,0.8747619353234768
fixed6,45,target_mean,,,,,,18081.0,0.8984906375408173,0.6088704466819763,8.659018754959106,0.8724464401602745
fixed6,46,target_mean,,,,,,18081.0,0.8899839222431183,0.6024980843067169,8.662038087844849,0.8748879581689835
learnable_global_component,42,target_mean,,,,,,18081.0,0.8867533504962921,0.6056118011474609,8.531388759613037,0.8763717301189899
learnable_global_component,43,target_mean,,,,,,18081.0,0.8929350972175598,0.6083519458770752,8.621061325073242,0.8739678114652634
learnable_global_component,44,target_mean,,,,,,18081.0,0.8867488205432892,0.6028455942869186,8.738012313842773,0.8762450888752937
learnable_global_component,45,target_mean,,,,,,18081.0,0.8818716406822206,0.6033395230770111,8.550036191940308,0.8774043284356594
learnable_global_component,46,target_mean,,,,,,18081.0,0.8907758891582489,0.6106975674629211,8.650241136550903,0.8760396204888821
training_derived_component,42,target_mean,,,,,,18081.0,0.8962200582027435,0.6130990982055664,8.661352634429932,0.8733394555747509
training_derived_component,43,target_mean,,,,,,18081.0,0.8907457590103149,0.6063542068004608,8.609907627105713,0.8747780546545982
training_derived_component,44,target_mean,,,,,,18081.0,0.8894038200378418,0.6064369231462479,8.636504888534546,0.8753464818000793
training_derived_component,45,target_mean,,,,,,18081.0,0.8830015659332275,0.6033127158880234,8.588056087493896,0.8776898048818111
training_derived_component,46,target_mean,,,,,,18081.0,0.8875380158424377,0.6033963263034821,8.667716264724731,0.8763515092432499
unbounded,42,target_mean,,,,,,18081.0,0.8896702527999878,0.6056585162878036,8.621851205825806,0.8757888674736023
unbounded,43,target_mean,,,,,,18081.0,0.8894168436527252,0.6035542190074921,8.627981901168823,0.8744834177196026
unbounded,44,target_mean,,,,,,18081.0,0.8807615637779236,0.600162997841835,8.657565116882324,0.877201858907938
unbounded,45,target_mean,,,,,,18081.0,0.8799086213111877,0.6017316281795502,8.486464023590088,0.8785379119217396
unbounded,46,target_mean,,,,,,18081.0,0.8858335614204407,0.599404901266098,8.553877830505371,0.8757372759282589
