target,loss,mean_difference_wind_mamba_minus_persistence,relative_improvement_percent,ci95_lower,ci95_upper,persistence_mean_loss,wind_mamba_five_seed_mean_loss,block_length_origins,bootstrap_replicates
sd1042,squared_error,0.02220134064555168,-2.0140555132231968,-0.02389616435393691,0.07213021069765085,1.1023201942443848,1.1245215348899364,14,5000
sd1042,absolute_error,0.022320663556456566,-3.162181773020564,0.010836115083657205,0.0346729414537549,0.7058627605438232,0.7281834241002798,14,5000
sd1091,squared_error,-0.08498680591583252,13.951772594958156,-0.13609981089830397,-0.042161955684423505,0.6091470122337341,0.5241602063179016,6,5000
sd1091,absolute_error,-0.02494216337800026,4.8397962731284245,-0.038912542071193455,-0.012501651886850599,0.51535564661026,0.49041348323225975,6,5000
target_mean,squared_error,-0.03139273263514042,5.96885854086748,-0.06571434307843446,0.002902539772912858,0.8557336032390594,0.824340870603919,target-specific,5000
target_mean,absolute_error,-0.0013107499107718468,0.8388072500539303,-0.01029530765954405,0.007377226615790275,0.6106092035770416,0.6092984536662698,target-specific,5000
