relative_time_min,wind_speed_mps,time_utc
-50,11.751021654620306,2024-12-14T09:00:00+00:00
-40,11.69647372248851,2024-12-14T09:10:00+00:00
-30,11.402601994343438,2024-12-14T09:20:00+00:00
-20,11.068698664859243,2024-12-14T09:30:00+00:00
-10,11.008778240890651,2024-12-14T09:40:00+00:00
0,11.096708944219273,2024-12-14T09:50:00+00:00
