variant,seed,target,regime,gust_threshold,count,ws_rmse,ws_mae,wd_mae,r2
full_real_imag,42,sd1042,strong_gust,12.394202020202018,7974.0,1.1015242338180542,0.7473188042640686,6.327620506286621,0.8165555447340012
full_real_imag,42,sd1042,non_strong_gust,12.394202020202018,13884.0,1.069154143333435,0.753864586353302,12.626654624938965,0.7941372692584991
magnitude_only_strict_zero_phase,42,sd1042,strong_gust,12.394202020202018,7974.0,1.093085527420044,0.7562161087989807,6.410163402557373,0.8193554729223251
magnitude_only_strict_zero_phase,42,sd1042,non_strong_gust,12.394202020202018,13884.0,1.066196322441101,0.7464834451675415,12.698760986328125,0.7952747195959091
no_fft,42,sd1042,strong_gust,12.394202020202018,7974.0,1.0485426187515259,0.6997410655021667,6.296328067779541,0.8337779492139816
no_fft,42,sd1042,non_strong_gust,12.394202020202018,13884.0,1.0570985078811646,0.7219219207763672,12.675050735473633,0.798753634095192
full_real_imag,42,sd1091,strong_gust,12.394202020202018,1242.0,0.9057586193084717,0.6625899076461792,6.5722575187683105,0.08654868602752686
full_real_imag,42,sd1091,non_strong_gust,12.394202020202018,13062.0,0.6957218647003174,0.46806052327156067,7.0083160400390625,0.8389514982700348
magnitude_only_strict_zero_phase,42,sd1091,strong_gust,12.394202020202018,1242.0,0.9277998208999634,0.6753668785095215,7.484890937805176,0.04155099391937256
magnitude_only_strict_zero_phase,42,sd1091,non_strong_gust,12.394202020202018,13062.0,0.7390657663345337,0.5026374459266663,7.34871244430542,0.8182595670223236
no_fft,42,sd1091,strong_gust,12.394202020202018,1242.0,0.9660192728042603,0.6895409226417542,7.314586639404297,-0.03903937339782715
no_fft,42,sd1091,non_strong_gust,12.394202020202018,13062.0,0.7544195652008057,0.49566730856895447,7.230565071105957,0.8106299489736557
full_real_imag,43,sd1042,strong_gust,12.394202020202018,7974.0,1.0423521995544434,0.6996393203735352,6.043116092681885,0.8357348144054413
full_real_imag,43,sd1042,non_strong_gust,12.394202020202018,13884.0,1.057805061340332,0.7311741709709167,12.407299995422363,0.7984845489263535
magnitude_only_strict_zero_phase,43,sd1042,strong_gust,12.394202020202018,7974.0,1.0727105140686035,0.7317404747009277,6.080669403076172,0.8260271102190018
magnitude_only_strict_zero_phase,43,sd1042,non_strong_gust,12.394202020202018,13884.0,1.0784235000610352,0.7523931264877319,12.644237518310547,0.7905522286891937
no_fft,43,sd1042,strong_gust,12.394202020202018,7974.0,1.0407013893127441,0.6876550316810608,6.312471389770508,0.8362547159194946
no_fft,43,sd1042,non_strong_gust,12.394202020202018,13884.0,1.058335781097412,0.7228977680206299,12.579113006591797,0.7982822805643082
full_real_imag,43,sd1091,strong_gust,12.394202020202018,1242.0,0.9241259098052979,0.6746166944503784,6.589807510375977,0.049126505851745605
full_real_imag,43,sd1091,non_strong_gust,12.394202020202018,13062.0,0.7066746950149536,0.4748348593711853,7.054887294769287,0.8338407576084137
magnitude_only_strict_zero_phase,43,sd1091,strong_gust,12.394202020202018,1242.0,1.0462825298309326,0.8125967979431152,7.036530017852783,-0.21887290477752686
magnitude_only_strict_zero_phase,43,sd1091,non_strong_gust,12.394202020202018,13062.0,0.7474120855331421,0.5029503703117371,7.521292686462402,0.8141315579414368
no_fft,43,sd1091,strong_gust,12.394202020202018,1242.0,0.9646259546279907,0.6859291791915894,7.3126935958862305,-0.03604435920715332
no_fft,43,sd1091,non_strong_gust,12.394202020202018,13062.0,0.7542001605033875,0.4968303442001343,7.314134120941162,0.8107400685548782
full_real_imag,44,sd1042,strong_gust,12.394202020202018,7974.0,1.0671249628067017,0.7251459360122681,6.140346050262451,0.8278341442346573
full_real_imag,44,sd1042,non_strong_gust,12.394202020202018,13884.0,1.0526587963104248,0.734708845615387,12.562119483947754,0.8004405051469803
magnitude_only_strict_zero_phase,44,sd1042,strong_gust,12.394202020202018,7974.0,1.1020890474319458,0.761936366558075,6.236474514007568,0.8163673579692841
magnitude_only_strict_zero_phase,44,sd1042,non_strong_gust,12.394202020202018,13884.0,1.100462555885315,0.7783101797103882,12.638155937194824,0.7819040268659592
no_fft,44,sd1042,strong_gust,12.394202020202018,7974.0,1.0383646488189697,0.6875948905944824,6.26078987121582,0.8369892239570618
no_fft,44,sd1042,non_strong_gust,12.394202020202018,13884.0,1.0536142587661743,0.7200071811676025,12.512039184570312,0.8000780642032623
full_real_imag,44,sd1091,strong_gust,12.394202020202018,1242.0,0.9973979592323303,0.7381238341331482,7.117847919464111,-0.10763680934906006
full_real_imag,44,sd1091,non_strong_gust,12.394202020202018,13062.0,0.7019869089126587,0.47287994623184204,7.1022443771362305,0.8360379189252853
magnitude_only_strict_zero_phase,44,sd1091,strong_gust,12.394202020202018,1242.0,0.9606012105941772,0.7084924578666687,6.983731746673584,-0.02741682529449463
magnitude_only_strict_zero_phase,44,sd1091,non_strong_gust,12.394202020202018,13062.0,0.7211639881134033,0.48588481545448303,7.228158473968506,0.8269572407007217
no_fft,44,sd1091,strong_gust,12.394202020202018,1242.0,0.9797486066818237,0.703404426574707,7.263617038726807,-0.06878340244293213
no_fft,44,sd1091,non_strong_gust,12.394202020202018,13062.0,0.7492584586143494,0.4992678761482239,7.437668800354004,0.8132121115922928
full_real_imag,45,sd1042,strong_gust,12.394202020202018,7974.0,1.0887343883514404,0.7278947234153748,5.970939636230469,0.8207907527685165
full_real_imag,45,sd1042,non_strong_gust,12.394202020202018,13884.0,1.035844087600708,0.7186251282691956,12.499279022216797,0.8067649602890015
magnitude_only_strict_zero_phase,45,sd1042,strong_gust,12.394202020202018,7974.0,1.0780562162399292,0.728252649307251,6.5294342041015625,0.824288859963417
magnitude_only_strict_zero_phase,45,sd1042,non_strong_gust,12.394202020202018,13884.0,1.048876166343689,0.7255102396011353,12.632729530334473,0.8018721342086792
no_fft,45,sd1042,strong_gust,12.394202020202018,7974.0,1.0469738245010376,0.7065589427947998,6.295807838439941,0.83427494764328
no_fft,45,sd1042,non_strong_gust,12.394202020202018,13884.0,1.0688982009887695,0.7369016408920288,12.724806785583496,0.7942358106374741
full_real_imag,45,sd1091,strong_gust,12.394202020202018,1242.0,0.9127489328384399,0.6660625338554382,6.642847061157227,0.0723949670791626
full_real_imag,45,sd1091,non_strong_gust,12.394202020202018,13062.0,0.6971367597579956,0.4710755944252014,7.009284019470215,0.8382957726716995
magnitude_only_strict_zero_phase,45,sd1091,strong_gust,12.394202020202018,1242.0,0.9382623434066772,0.6909002661705017,7.213747024536133,0.01981288194656372
magnitude_only_strict_zero_phase,45,sd1091,non_strong_gust,12.394202020202018,13062.0,0.7138221263885498,0.4811621904373169,7.442749977111816,0.8304626643657684
no_fft,45,sd1091,strong_gust,12.394202020202018,1242.0,0.9671228528022766,0.6927943229675293,7.26121711730957,-0.041414737701416016
no_fft,45,sd1091,non_strong_gust,12.394202020202018,13062.0,0.7518594861030579,0.4953294098377228,7.264054298400879,0.8119129985570908
full_real_imag,46,sd1042,strong_gust,12.394202020202018,7974.0,1.0527348518371582,0.7015146613121033,6.051491737365723,0.8324460983276367
full_real_imag,46,sd1042,non_strong_gust,12.394202020202018,13884.0,1.0566736459732056,0.7251749038696289,12.492764472961426,0.79891537129879
magnitude_only_strict_zero_phase,46,sd1042,strong_gust,12.394202020202018,7974.0,1.0577679872512817,0.7136274576187134,6.157348155975342,0.8308401256799698
magnitude_only_strict_zero_phase,46,sd1042,non_strong_gust,12.394202020202018,13884.0,1.0484429597854614,0.7286109328269958,12.607649803161621,0.8020357936620712
no_fft,46,sd1042,strong_gust,12.394202020202018,7974.0,1.0734930038452148,0.7273558378219604,6.127758502960205,0.8257732093334198
no_fft,46,sd1042,non_strong_gust,12.394202020202018,13884.0,1.0778546333312988,0.74123215675354,12.507402420043945,0.7907731235027313
full_real_imag,46,sd1091,strong_gust,12.394202020202018,1242.0,0.8958548903465271,0.6590396165847778,6.750793933868408,0.10641521215438843
full_real_imag,46,sd1091,non_strong_gust,12.394202020202018,13062.0,0.7060220241546631,0.4750412702560425,7.254828929901123,0.834147572517395
magnitude_only_strict_zero_phase,46,sd1091,strong_gust,12.394202020202018,1242.0,0.9014571309089661,0.6587132215499878,7.216900825500488,0.09520423412322998
magnitude_only_strict_zero_phase,46,sd1091,non_strong_gust,12.394202020202018,13062.0,0.723944902420044,0.48334768414497375,7.481240272521973,0.8256201148033142
no_fft,46,sd1091,strong_gust,12.394202020202018,1242.0,0.9048736691474915,0.632801353931427,7.097255229949951,0.08833271265029907
no_fft,46,sd1091,non_strong_gust,12.394202020202018,13062.0,0.7310262322425842,0.4903794825077057,7.500349521636963,0.8221919685602188
full_real_imag,42,target_mean,non_strong_gust,12.394202020202018,13473.0,0.8824380040168762,0.6109625548124313,9.817485332489014,0.816544383764267
full_real_imag,42,target_mean,strong_gust,12.394202020202018,4608.0,1.003641426563263,0.7049543559551239,6.449939012527466,0.451552115380764
full_real_imag,43,target_mean,non_strong_gust,12.394202020202018,13473.0,0.8822398781776428,0.603004515171051,9.731093645095825,0.8161626532673836
full_real_imag,43,target_mean,strong_gust,12.394202020202018,4608.0,0.9832390546798706,0.6871280074119568,6.316461801528931,0.44243066012859344
full_real_imag,44,target_mean,non_strong_gust,12.394202020202018,13473.0,0.8773228526115417,0.6037943959236145,9.832181930541992,0.8182392120361328
full_real_imag,44,target_mean,strong_gust,12.394202020202018,4608.0,1.032261461019516,0.7316348850727081,6.629096984863281,0.3600986674427986
full_real_imag,45,target_mean,non_strong_gust,12.394202020202018,13473.0,0.8664904236793518,0.5948503613471985,9.754281520843506,0.8225303664803505
full_real_imag,45,target_mean,strong_gust,12.394202020202018,4608.0,1.0007416605949402,0.6969786286354065,6.306893348693848,0.44659285992383957
full_real_imag,46,target_mean,non_strong_gust,12.394202020202018,13473.0,0.8813478350639343,0.6001080870628357,9.873796701431274,0.8165314719080925
full_real_imag,46,target_mean,strong_gust,12.394202020202018,4608.0,0.9742948710918427,0.6802771389484406,6.401142835617065,0.4694306552410126
magnitude_only_strict_zero_phase,42,target_mean,non_strong_gust,12.394202020202018,13473.0,0.9026310443878174,0.6245604455471039,10.023736715316772,0.8067671433091164
magnitude_only_strict_zero_phase,42,target_mean,strong_gust,12.394202020202018,4608.0,1.0104426741600037,0.7157914936542511,6.947527170181274,0.43045323342084885
magnitude_only_strict_zero_phase,43,target_mean,non_strong_gust,12.394202020202018,13473.0,0.9129177927970886,0.6276717483997345,10.082765102386475,0.8023418933153152
magnitude_only_strict_zero_phase,43,target_mean,strong_gust,12.394202020202018,4608.0,1.059496521949768,0.7721686363220215,6.5585997104644775,0.30357710272073746
magnitude_only_strict_zero_phase,44,target_mean,non_strong_gust,12.394202020202018,13473.0,0.9108132719993591,0.6320974975824356,9.933157205581665,0.8044306337833405
magnitude_only_strict_zero_phase,44,target_mean,strong_gust,12.394202020202018,4608.0,1.0313451290130615,0.7352144122123718,6.610103130340576,0.3944752663373947
magnitude_only_strict_zero_phase,45,target_mean,non_strong_gust,12.394202020202018,13473.0,0.8813491463661194,0.6033362150192261,10.037739753723145,0.8161673992872238
magnitude_only_strict_zero_phase,45,target_mean,strong_gust,12.394202020202018,4608.0,1.0081592798233032,0.7095764577388763,6.871590614318848,0.4220508709549904
magnitude_only_strict_zero_phase,46,target_mean,non_strong_gust,12.394202020202018,13473.0,0.8861939311027527,0.6059793084859848,10.044445037841797,0.8138279542326927
magnitude_only_strict_zero_phase,46,target_mean,strong_gust,12.394202020202018,4608.0,0.9796125590801239,0.6861703395843506,6.687124490737915,0.4630221799015999
no_fft,42,target_mean,non_strong_gust,12.394202020202018,13473.0,0.9057590365409851,0.6087946146726608,9.952807903289795,0.8046917915344238
no_fft,42,target_mean,strong_gust,12.394202020202018,4608.0,1.007280945777893,0.6946409940719604,6.805457353591919,0.39736928790807724
no_fft,43,target_mean,non_strong_gust,12.394202020202018,13473.0,0.9062679708003998,0.6098640561103821,9.94662356376648,0.8045111745595932
no_fft,43,target_mean,strong_gust,12.394202020202018,4608.0,1.0026636719703674,0.6867921054363251,6.812582492828369,0.40010517835617065
no_fft,44,target_mean,non_strong_gust,12.394202020202018,13473.0,0.9014363586902618,0.6096375286579132,9.974853992462158,0.8066450878977776
no_fft,44,target_mean,strong_gust,12.394202020202018,4608.0,1.0090566277503967,0.6954996585845947,6.7622034549713135,0.3841029107570648
no_fft,45,target_mean,non_strong_gust,12.394202020202018,13473.0,0.9103788435459137,0.6161155253648758,9.994430541992188,0.8030744045972824
no_fft,45,target_mean,strong_gust,12.394202020202018,4608.0,1.007048338651657,0.6996766328811646,6.778512477874756,0.396430104970932
no_fft,46,target_mean,non_strong_gust,12.394202020202018,13473.0,0.9044404327869415,0.6158058196306229,10.003875970840454,0.8064825460314751
no_fft,46,target_mean,strong_gust,12.394202020202018,4608.0,0.9891833364963531,0.6800785958766937,6.612506866455078,0.45705296099185944
