variant,target,regime,ws_rmse_mean,ws_mae_mean,wd_mae_mean,r2_mean,count_mean,ws_rmse_sample_std,ws_mae_sample_std,wd_mae_sample_std,r2_sample_std,count_sample_std
full_real_imag,sd1042,hf_q1,1.235630202293396,0.8617374062538147,12.759361457824706,0.8633994102478028,5910.0,0.021556870150666502,0.02241640466448247,0.09891891443956018,0.004785014675875489,0.0
full_real_imag,sd1042,hf_q2,1.2297187566757202,0.813371193408966,11.960005187988282,0.8223822712898254,3348.0,0.014365391930837119,0.008812117614064991,0.06060587706879229,0.004144896434468352,0.0
full_real_imag,sd1042,hf_q3,0.9646528959274292,0.66176917552948,8.027412509918213,0.8964178994297981,4602.0,0.021035515050491397,0.019049733580889933,0.1620644841679188,0.004544197817478156,0.0
full_real_imag,sd1042,hf_q4,0.8808114528656006,0.6320500373840332,8.764372825622559,0.9272985354065895,7998.0,0.016617879981866753,0.014824067111991848,0.13693818670432217,0.0027201711086472674,0.0
full_real_imag,sd1091,hf_q1,0.7833239912986756,0.5293004989624024,10.21866054534912,0.8368568360805512,3126.0,0.008794067940774723,0.006831996832966823,0.2311113335847797,0.0036558408454242103,0.0
full_real_imag,sd1091,hf_q2,0.69342542886734,0.4743504345417023,7.1740673065185545,0.8538601845502853,3216.0,0.0031901698709845307,0.0027980573819926663,0.11724805431773362,0.0013449525306562123,0.0
full_real_imag,sd1091,hf_q3,0.7749098300933838,0.5035477221012116,6.042799282073974,0.8487441539764404,3756.0,0.010392094150759633,0.004220388358684107,0.11153400746367452,0.0040666191505170654,0.0
full_real_imag,sd1091,hf_q4,0.6499661087989808,0.4620648980140686,5.5179762840271,0.8489222377538681,4206.0,0.009286523411256228,0.008439788447699645,0.0936980730161014,0.004324779272962861,0.0
full_real_imag,target_mean,hf_q1,1.0094770967960358,0.6955189526081085,11.489011001586913,0.850128123164177,4518.0,0.007500128686913402,0.00902675539032661,0.11842203844218038,0.0013268625148746694,0.0
full_real_imag,target_mean,hf_q2,0.9615720927715301,0.6438608139753341,9.567036247253418,0.8381212279200554,3282.0,0.007141755906285206,0.0035012191824132697,0.0530306139953812,0.0020910653372111848,0.0
full_real_imag,target_mean,hf_q3,0.8697813630104065,0.5826584488153458,7.035105895996094,0.8725810267031193,4179.0,0.01221598674954414,0.009601181587797929,0.07916614805283767,0.0031990079396781025,0.0
full_real_imag,target_mean,hf_q4,0.7653887808322907,0.547057467699051,7.141174554824829,0.8881103865802288,6102.0,0.008650928937820695,0.008670856721733589,0.08107971159045707,0.0023064676661540494,0.0
magnitude_only_strict_zero_phase,sd1042,hf_q1,1.212198543548584,0.8413501977920532,12.872366523742675,0.8685589253902435,5910.0,0.007622673478969236,0.009991751063796418,0.16699174008822337,0.0016525807541890962,0.0
magnitude_only_strict_zero_phase,sd1042,hf_q2,1.233246374130249,0.8266148209571839,11.933212661743164,0.8213528215885162,3348.0,0.017402468738550475,0.011085000296484937,0.09962274142540889,0.0050373970277554315,0.0
magnitude_only_strict_zero_phase,sd1042,hf_q3,0.9812784433364868,0.6813942193984985,8.180788040161133,0.8927762612700463,4602.0,0.03020357825343375,0.02866392335593175,0.12419052014817153,0.006652805963471629,0.0
magnitude_only_strict_zero_phase,sd1042,hf_q4,0.9324774026870728,0.6718021273612976,8.999335479736327,0.9184819877147674,7998.0,0.02845219976186359,0.03511951641390491,0.09193979143787252,0.0050309814358321355,0.0
magnitude_only_strict_zero_phase,sd1091,hf_q1,0.8179588794708252,0.5513200521469116,10.77271327972412,0.8220246613025666,3126.0,0.022147823296945437,0.017351301237779594,0.40460435613290346,0.009753843217427297,0.0
magnitude_only_strict_zero_phase,sd1091,hf_q2,0.7030033588409423,0.48118152618408205,7.382586669921875,0.8496946394443512,3216.0,0.020592750298100072,0.015176903199614076,0.10616933656742715,0.008893782124901868,0.0
magnitude_only_strict_zero_phase,sd1091,hf_q3,0.795162844657898,0.5194412589073181,6.294346904754638,0.8407266587018967,3756.0,0.01233261883634178,0.011069118916606098,0.10242224836086351,0.004942233852646245,0.0
magnitude_only_strict_zero_phase,sd1091,hf_q4,0.6931837916374206,0.4933249235153198,5.844901752471924,0.8280877321958542,4206.0,0.01903349909206012,0.014834484519144753,0.08016582233675597,0.009461072968627136,0.0
magnitude_only_strict_zero_phase,target_mean,hf_q1,1.0150787115097046,0.6963351249694825,11.822539901733398,0.845291793346405,4518.0,0.014204037212283315,0.012588738268255538,0.21753376033804123,0.005532611125900587,0.0
magnitude_only_strict_zero_phase,target_mean,hf_q2,0.9681248664855957,0.653898173570633,9.65789966583252,0.8355237305164337,3282.0,0.01621149728992752,0.01200118224178861,0.10187961779689036,0.006002798548783121,0.0
magnitude_only_strict_zero_phase,target_mean,hf_q3,0.8882206439971924,0.6004177391529083,7.237567472457886,0.8667514599859715,4179.0,0.01562652290387155,0.015878300551088256,0.09024420694497116,0.00388608161788944,0.0
magnitude_only_strict_zero_phase,target_mean,hf_q4,0.8128305971622467,0.5825635254383087,7.422118616104126,0.8732848599553108,6102.0,0.01853784251875562,0.02132380556193302,0.05638923802212512,0.0057320178850658,0.0
no_fft,sd1042,hf_q1,1.2067134618759154,0.8260392546653748,12.836767768859863,0.8697488397359848,5910.0,0.003805827549957295,0.003437644151617776,0.05292722682807596,0.0008229207793182233,0.0
no_fft,sd1042,hf_q2,1.2411472082138062,0.8060113310813903,11.918328666687012,0.8190787047147751,3348.0,0.008373261861553911,0.009614258886612659,0.10527536897644554,0.002448469586418732,0.0
no_fft,sd1042,hf_q3,0.9637106776237487,0.65835040807724,8.100736999511719,0.8966476991772652,4602.0,0.01149164886011885,0.01584609681863523,0.04262013104704686,0.0024768237726516666,0.0
no_fft,sd1042,hf_q4,0.8972844004631042,0.6378631830215454,8.976352500915528,0.9245397776365281,7998.0,0.021757157816149897,0.01817486471739913,0.21465497746201112,0.0036779830494087303,0.0
no_fft,sd1091,hf_q1,0.8485046982765198,0.5544536113739014,10.604019737243652,0.8085930287837982,3126.0,0.003809835360273575,0.003980366131103211,0.2795447628633766,0.0017201800005732138,0.0
no_fft,sd1091,hf_q2,0.6962191820144653,0.47008687257766724,7.321847915649414,0.8526656329631805,3216.0,0.008388376957514123,0.0033228746141410084,0.07699520539649585,0.003522763810238772,0.0
no_fft,sd1091,hf_q3,0.8179915308952331,0.5299621105194092,6.2879638671875,0.8313512742519379,3756.0,0.02552166822234362,0.01467984982255295,0.11562134172117378,0.010316315940849096,0.0
no_fft,sd1091,hf_q4,0.7106603026390076,0.49507027864456177,5.86989688873291,0.8193902224302292,4206.0,0.010009917828411171,0.005234074547328495,0.05848204308376083,0.005051697364842739,0.0
no_fft,target_mean,hf_q1,1.0276090800762177,0.6902464330196381,11.720393753051757,0.8391709342598915,4518.0,0.002414438712173454,0.003559041057498408,0.14292262318699933,0.0008774249069129831,0.0
no_fft,target_mean,hf_q2,0.9686831951141357,0.6380491018295288,9.620088291168212,0.8358721688389779,3282.0,0.0014387750530239992,0.0035375029279072203,0.07998191851874498,0.0007345506043731368,0.0
no_fft,target_mean,hf_q3,0.890851104259491,0.5941562592983246,7.1943504333496096,0.8639994867146015,4179.0,0.0080809807107396,0.0035193702452207885,0.06448966600359031,0.004094038566725264,0.0
no_fft,target_mean,hf_q4,0.803972351551056,0.5664667308330535,7.423124694824219,0.8719650000333786,6102.0,0.007170797756491455,0.00747427404355384,0.07864078014205486,0.0013738047577643829,0.0
