target,split,raw_point_count,raw_upper_tail_count,raw_upper_tail_ratio,window_count,forecast_point_count,forecast_upper_tail_count,forecast_upper_tail_ratio,threshold_mps
sd1042,train,11052,515,0.04659790083242852,11011,66066,3090,0.04677141040777404,10.580439745930407
sd1042,validation_early_stopping_only,3684,398,0.10803474484256244,3643,21858,2388,0.10925061762283832,10.580439745930407
sd1042,calibration_quantile_only,1842,414,0.2247557003257329,1801,10806,2471,0.22866925781972977,10.580439745930407
sd1042,final_interval_test_only,1842,334,0.18132464712269272,1801,10806,1773,0.16407551360355357,10.580439745930407
sd1091,train,7272,39,0.005363036303630363,7231,43386,234,0.0053934448900567,10.580439745930407
sd1091,validation_early_stopping_only,2424,5,0.0020627062706270625,2383,14298,29,0.002028255700097916,10.580439745930407
sd1091,calibration_quantile_only,1212,26,0.02145214521452145,1171,7026,144,0.02049530315969257,10.580439745930407
sd1091,final_interval_test_only,1213,0,0.0,1172,7032,0,0.0,10.580439745930407
