variant,target,regime,count_mean,ws_rmse_mean,ws_mae_mean,wd_mae_mean,r2_mean,count_sample_std,ws_rmse_sample_std,ws_mae_sample_std,wd_mae_sample_std,r2_sample_std
fixed4_submitted,sd1042,rapid_component_change,648.0,3.3701894760131834,2.8157863140106203,53.81459350585938,0.3370844960212708,0.0,0.04950867684696062,0.03756546303516795,0.6233859509737517,0.019561148281698307
fixed4_submitted,sd1042,rapid_wd_change,2615.0,1.8456470489501953,1.3204940557479858,42.34469833374023,0.6087721765041352,0.0,0.024890972109513108,0.011832198223071253,0.4221989265242208,0.010589832603745694
fixed4_submitted,sd1042,strong_gust,7974.0,1.0704941272735595,0.72030268907547,6.10670280456543,0.8266722708940506,0.0,0.02456769151411367,0.019943240079923482,0.13734961654537103,0.007964878082034714
fixed4_submitted,sd1042,upper_tail,4488.0,1.1345893383026122,0.7289927840232849,5.286209297180176,0.49227792024612427,0.0,0.050220392014873924,0.03684971921967334,0.08148695088111955,0.044139714208695426
fixed4_submitted,sd1091,rapid_component_change,192.0,2.4016770362854003,1.998596715927124,51.796888732910155,0.17040495872497557,0.0,0.05937587551457963,0.05527165290207489,1.1467727408780268,0.04116104140632938
fixed4_submitted,sd1091,rapid_wd_change,776.0,1.4909033298492431,1.0806869983673095,36.10967864990234,0.7131772816181183,0.0,0.022784045289362894,0.012357367192832614,0.5177598298216435,0.008781379892976502
fixed4_submitted,sd1091,strong_gust,1242.0,0.9271772623062133,0.6800865173339844,6.734710788726806,0.041369712352752684,0.0,0.040584119348430744,0.03295460740907638,0.22521084451423773,0.08587452254983426
fixed4_submitted,sd1091,upper_tail,144.0,2.030033087730408,1.6989965438842773,8.657054710388184,-20.633388900756835,0.0,0.06267274969366116,0.06952798911855176,0.19996329941311952,1.3539365825657024
fixed4_submitted,target_mean,rapid_component_change,420.0,2.885933256149292,2.407191514968872,52.80574111938476,0.25374472737312315,0.0,0.032948593211831384,0.022233809740615156,0.7110269025427465,0.020143870394190112
fixed4_submitted,target_mean,rapid_wd_change,1695.5,1.6682751893997192,1.2005905270576478,39.22718849182129,0.6609747290611268,0.0,0.0230777499680741,0.012056344749855074,0.34043082539721004,0.00938447670327389
