loss_variant,target,delta_ws_rmse_mean,delta_ws_rmse_std,delta_ws_mae_mean,delta_ws_mae_std,delta_wd_mae_mean,delta_wd_mae_std,delta_r2_mean,delta_r2_std
common_smoothl1_dircos,sd1042,0.15053911209106446,0.03780861164880139,0.18083672523498534,0.03254836724496278,4.9248254776000975,1.289202343075464,-0.033414116501808165,0.008777426723314153
common_smoothl1_dircos,sd1091,0.05583577156066895,0.017905888684275676,0.06200535297393801,0.015628171424469157,2.5673240661621093,0.4609717871522008,-0.022535249590873718,0.007396886116690794
common_smoothl1_dircos,target_mean,0.10318744182586667,0.021663650848988563,0.12142103910446167,0.01774252030022095,3.7460747718811036,0.824741527904386,-0.02797468304634094,0.006055087141828199
paper_kfl_dircos,sd1042,0.2284045457839965,0.08714872499133526,0.24113552570343016,0.07416785220885751,4.523117256164549,1.38264102858091,-0.05289835631847382,0.021729017019157613
paper_kfl_dircos,sd1091,0.06954765319824219,0.023394599200577695,0.07104592323303224,0.026847378562233144,2.181661224365234,0.4527399943414649,-0.028378605842590332,0.00992503700459961
paper_kfl_dircos,target_mean,0.14897609949111937,0.052558789145695395,0.1560907244682312,0.04800026610742004,3.352389240264892,0.8894058194214792,-0.04063848108053207,0.014886302909449416
