variant,target,ws_rmse_mean,ws_mae_mean,wd_mae_mean,r2_mean,ws_rmse_sample_std,ws_mae_sample_std,wd_mae_sample_std,r2_sample_std
fixed4_submitted,sd1042,1.060382604598999,0.7281834244728088,10.178860473632813,0.8904524624347687,0.0117467589492862,0.014123727379559085,0.09725173036038234,0.002443535827617161
fixed4_submitted,sd1091,0.7239647150039673,0.49041348695755005,7.055417823791504,0.859554859995842,0.006637416128564764,0.004163606247649977,0.10187776009973186,0.00257574442401411
fixed4_submitted,target_mean,0.8921736598014831,0.6092984557151795,8.617139148712159,0.8750036612153054,0.004714252087605055,0.006283668573932077,0.06313492971040009,0.001129406473086286
fixed6,sd1042,1.0624802827835083,0.7291764259338379,10.143954277038574,0.8900125831365585,0.014692414642156686,0.018925040641605533,0.04833046568727031,0.0030645252890860314
fixed6,sd1091,0.726877224445343,0.4924491286277771,7.156521129608154,0.8584178298711777,0.008152386837628745,0.005423977049854113,0.07835014810985254,0.0031738194333775045
fixed6,target_mean,0.8946787536144256,0.6108127772808075,8.650237703323365,0.8742152065038681,0.005113131833090945,0.008247552487967429,0.05247070016522423,0.0011270754590317152
learnable_global_component,sd1042,1.0527954816818237,0.7216272830963135,10.145775985717773,0.8920197710394859,0.008268114491046473,0.007924808765095853,0.04128943285569557,0.0016995671155592522
learnable_global_component,sd1091,0.7228384375572204,0.4907112896442413,7.090519905090332,0.8599916607141495,0.00656695205452548,0.004277631158782282,0.15845933234979098,0.002552683194995098
learnable_global_component,target_mean,0.8878169596195221,0.6061692863702774,8.618147945404052,0.8760057158768177,0.004259389604363139,0.0033404569788865364,0.08302453673361342,0.0012551480849857753
training_derived_component,sd1042,1.0539044857025146,0.7219097375869751,10.131401443481446,0.8917965427041054,0.003487244484815795,0.004111416968326152,0.03937385163523589,0.0007169052428755446
training_derived_component,sd1091,0.7248592019081116,0.4911299705505371,7.134013557434082,0.8592055797576904,0.007315660008845555,0.0046979021471843276,0.06494644398752512,0.0028384196255210065
training_derived_component,target_mean,0.8893818438053132,0.6065198540687561,8.632707500457764,0.8755010612308979,0.004814809733212789,0.0039800418018503874,0.03381626951826815,0.001638065391980569
unbounded,sd1042,1.0451775789260864,0.7125166654586792,10.093242263793945,0.8935766488313674,0.008306005843117682,0.007338601870675849,0.056097728213329666,0.001695520324588386
unbounded,sd1091,0.7250587582588196,0.49168823957443236,7.08585376739502,0.8591230839490891,0.00876183126391458,0.004245173388396926,0.1126571718119236,0.0034000865961558977
unbounded,target_mean,0.885118168592453,0.6021024525165558,8.589548015594483,0.8763498663902283,0.00463225790490852,0.0025460259897753016,0.06900300217910207,0.0015562014648521478
