variant,seed,target,checkpoint,parameter_count,count,ws_rmse,ws_mae,wd_mae,r2,loss
A_degree_10d,42,sd1042,not_released,512595.0,21858.0,1.0810753107070923,0.7514767050743103,10.32870864868164,0.8861464262008667,
A_degree_10d,42,sd1091,not_released,512595.0,14304.0,0.7164046168327332,0.48495128750801086,6.970454216003418,0.862482026219368,
A_degree_10d,43,sd1042,not_released,512595.0,21858.0,1.0521939992904663,0.7196699380874634,10.085587501525879,0.8921484276652336,
A_degree_10d,43,sd1091,not_released,512595.0,14304.0,0.7281348705291748,0.4921816885471344,7.014504432678223,0.8579417765140533,
A_degree_10d,44,sd1042,not_released,512595.0,21858.0,1.0579590797424316,0.7312202453613281,10.219396591186523,0.8909633308649063,
A_degree_10d,44,sd1091,not_released,512595.0,14304.0,0.7323763966560364,0.49591073393821716,7.1035990715026855,0.8562819361686707,
B_circular_12d,42,sd1042,not_released,512979.0,,1.0875732703708454,0.762801892782067,10.426133945970154,0.8847736246623545,0.4620428947982898
B_circular_12d,42,sd1091,not_released,512979.0,,0.7243437288171011,0.4910837499887351,7.0674950132434,0.8594172130073885,0.2312038548840772
B_circular_12d,43,sd1042,not_released,512979.0,,1.1141648767168788,0.7861764174670878,10.290913919286023,0.8790700768039929,0.4797707079384898
B_circular_12d,43,sd1091,not_released,512979.0,,0.7356383336102023,0.4993404126007285,7.370900518942199,0.854998850966914,0.24067036837539416
B_circular_12d,44,sd1042,not_released,512979.0,,1.0603567913207423,0.7295659559405028,10.24816176478801,0.8904685354730456,0.4360217713382
B_circular_12d,44,sd1091,not_released,512979.0,,0.7269960944781054,0.4912162589813506,7.12305975280352,0.8583857699700924,0.23222505926285814
A_degree_10d,42,target_mean,,,,0.8987399637699127,0.6182139962911606,8.64958143234253,0.8743142262101173,
A_degree_10d,43,target_mean,,,,0.8901644349098206,0.6059258133172989,8.55004596710205,0.8750451020896435,
A_degree_10d,44,target_mean,,,,0.895167738199234,0.6135654896497726,8.661497831344604,0.8736226335167885,
B_circular_12d,42,target_mean,,,,0.9059584995939732,0.626942821385401,8.746814479606776,0.8720954188348715,
B_circular_12d,43,target_mean,,,,0.9249016051635406,0.6427584150339081,8.830907219114112,0.8670344638854535,
B_circular_12d,44,target_mean,,,,0.8936764428994239,0.6103911074609267,8.685610758795764,0.874427152721569,
