target,model,horizon,ws_rmse_mean,ws_rmse_std,ws_mae_mean,ws_mae_std,wd_mae_mean,wd_mae_std
sd1042,Autoformer,1,0.9572374105453492,0.08405101163867415,0.6871710896492005,0.062274393835979804,9.113294219970703,0.7113639628444333
sd1042,Autoformer,2,1.1051215171813964,0.08159589809892216,0.7988386988639832,0.06269760362348611,10.293625831604004,0.5776693177144616
sd1042,Autoformer,3,1.2083810091018676,0.07772897080212679,0.8832642793655395,0.06433928112189433,11.39321346282959,0.6320645435082358
sd1042,Autoformer,4,1.2910558700561523,0.07465655536211843,0.9542279839515686,0.06290522533800738,12.288808441162109,0.6372745384980109
sd1042,Autoformer,5,1.3633222579956055,0.06835974217387443,1.016838800907135,0.05915215452098898,13.153624725341796,0.7493790331632061
sd1042,Autoformer,6,1.428732967376709,0.0669910740063273,1.0688209056854248,0.05838024394423551,14.158721351623536,0.8867536885267058
sd1042,Mamba,1,0.997684633731842,0.04100504296805285,0.7144196271896363,0.02460153124054398,10.644472122192383,0.7575937945257492
sd1042,Mamba,2,1.1138772249221802,0.007319105603344722,0.8006295442581177,0.01712011437662801,11.934285354614257,0.7669271901293162
sd1042,Mamba,3,1.21478374004364,0.018182606675668622,0.8828237771987915,0.02362243593815456,12.879009246826172,0.8038887136434425
sd1042,Mamba,4,1.28905246257782,0.025981387295202968,0.9463642597198486,0.02826980861920796,13.627731895446777,0.8911951534196
sd1042,Mamba,5,1.3594952344894409,0.035636788700154555,1.0060284376144408,0.03210859983183579,14.469833946228027,0.8891462202176029
sd1042,Mamba,6,1.4167480230331422,0.03958875556948671,1.0500654458999634,0.034297037424401,15.27067985534668,0.908006412597419
sd1042,Persistence,1,0.6763477325439453,0.0,0.4722011387348175,0.0,6.762795925140381,0.0
sd1042,Persistence,2,0.8833706378936768,0.0,0.5989143252372742,0.0,8.706772804260254,0.0
sd1042,Persistence,3,1.0163209438323975,0.0,0.68474280834198,0.0,9.91296100616455,0.0
sd1042,Persistence,4,1.116957664489746,0.0,0.7679029107093811,0.0,10.911312103271484,0.0
sd1042,Persistence,5,1.2090741395950317,0.0,0.8285443782806396,0.0,11.772073745727539,0.0
