target,total_raw_rows,train_raw_rows,validation_raw_rows,original_test_raw_rows,calibration_raw_rows,final_interval_test_raw_rows,calibration_windows,final_interval_test_windows,calibration_target_start,calibration_target_end,final_test_target_start,final_test_target_end,target_time_overlap,train_ratio,validation_ratio,calibration_ratio,final_interval_test_ratio,conformal_rank_one_based,calibration_residual_windows
sd1042,18420,11052,3684,3684,1842,1842,1801,1801,2024-12-01 04:10:00+00:00,2024-12-13 17:00:00+00:00,2024-12-13 23:10:00+00:00,2024-12-26 12:00:00+00:00,False,0.6,0.2,0.1,0.1,1622,1801
sd1091,12121,7272,2424,2425,1212,1213,1171,1172,2024-12-13 07:00:00+00:00,2024-12-21 10:50:00+00:00,2024-12-21 17:00:00+00:00,2024-12-29 21:00:00+00:00,False,0.5999504991337349,0.19998349971124493,0.09999174985562247,0.10007425129939775,1055,1171
