variant,seed,target,regime,count,ws_rmse,ws_mae,wd_mae,r2
full_real_imag,42,sd1042,hf_q1,5910.0,1.2677468061447144,0.8937427401542664,12.893210411071777,0.8562410622835159
full_real_imag,42,sd1042,hf_q2,3348.0,1.2307199239730835,0.8281190395355225,11.9345703125,0.8221123665571213
full_real_imag,42,sd1042,hf_q3,4602.0,0.9954921007156372,0.6900609135627747,8.249265670776367,0.8897311091423035
full_real_imag,42,sd1042,hf_q4,7998.0,0.8956423401832581,0.6496065258979797,8.957986831665039,0.9248510673642159
magnitude_only_strict_zero_phase,42,sd1042,hf_q1,5910.0,1.2187474966049194,0.8513249158859253,12.955182075500488,0.86713907122612
magnitude_only_strict_zero_phase,42,sd1042,hf_q2,3348.0,1.2365692853927612,0.8444271683692932,12.033513069152832,0.8204174339771271
magnitude_only_strict_zero_phase,42,sd1042,hf_q3,4602.0,0.9828402400016785,0.6832545399665833,8.284042358398438,0.892516128718853
magnitude_only_strict_zero_phase,42,sd1042,hf_q4,7998.0,0.9333471655845642,0.6740977168083191,9.058233261108398,0.9183906242251396
no_fft,42,sd1042,hf_q1,5910.0,1.2056090831756592,0.8228022456169128,12.880796432495117,0.8699881881475449
no_fft,42,sd1042,hf_q2,3348.0,1.236893892288208,0.8002253174781799,12.028157234191895,0.8203231245279312
no_fft,42,sd1042,hf_q3,4602.0,0.953196108341217,0.6500624418258667,8.065011024475098,0.898902140557766
no_fft,42,sd1042,hf_q4,7998.0,0.893710732460022,0.6338330507278442,9.08681869506836,0.925174854695797
full_real_imag,42,sd1091,hf_q1,3126.0,0.7762420773506165,0.5233100652694702,10.262310028076172,0.8398095518350601
full_real_imag,42,sd1091,hf_q2,3216.0,0.6895563006401062,0.47203531861305237,7.072968482971191,0.8554889112710953
full_real_imag,42,sd1091,hf_q3,3756.0,0.7683062553405762,0.4992004930973053,5.876528739929199,0.8513324856758118
full_real_imag,42,sd1091,hf_q4,4206.0,0.6378885507583618,0.45359325408935547,5.422369956970215,0.8545084297657013
magnitude_only_strict_zero_phase,42,sd1091,hf_q1,3126.0,0.8122138381004333,0.550126850605011,10.30812931060791,0.8246188163757324
magnitude_only_strict_zero_phase,42,sd1091,hf_q2,3216.0,0.705108106136322,0.48877212405204773,7.455517768859863,0.8488970100879669
magnitude_only_strict_zero_phase,42,sd1091,hf_q3,3756.0,0.8060510158538818,0.5295116305351257,6.4035115242004395,0.8363664150238037
magnitude_only_strict_zero_phase,42,sd1091,hf_q4,4206.0,0.7070011496543884,0.5049505829811096,5.9518232345581055,0.8212737143039703
no_fft,42,sd1091,hf_q1,3126.0,0.8523119688034058,0.5515742897987366,10.344717025756836,0.8068745732307434
no_fft,42,sd1091,hf_q2,3216.0,0.7004150152206421,0.4694543480873108,7.271053314208984,0.8509017527103424
no_fft,42,sd1091,hf_q3,3756.0,0.832811713218689,0.5354728102684021,6.1977925300598145,0.8253208845853806
no_fft,42,sd1091,hf_q4,4206.0,0.7132388353347778,0.4958614408969879,5.832181930541992,0.8181060701608658
full_real_imag,43,sd1042,hf_q1,5910.0,1.2118196487426758,0.836449921131134,12.787285804748535,0.8686452507972717
full_real_imag,43,sd1042,hf_q2,3348.0,1.2205885648727417,0.8058118224143982,11.87594985961914,0.8250290751457214
full_real_imag,43,sd1042,hf_q3,4602.0,0.9524053335189819,0.6562213897705078,7.921866416931152,0.8990698233246803
full_real_imag,43,sd1042,hf_q4,7998.0,0.8916023969650269,0.6338258385658264,8.584745407104492,0.9255274757742882
magnitude_only_strict_zero_phase,43,sd1042,hf_q1,5910.0,1.2204228639602661,0.8516643047332764,12.768363952636719,0.8667735159397125
magnitude_only_strict_zero_phase,43,sd1042,hf_q2,3348.0,1.2404714822769165,0.829139769077301,11.84525203704834,0.8192822486162186
