target,threshold_definition,regime,samples,picp,mpiw,winkler,threshold_mps
sd1042,not_applicable,overall,10806,86.70183231538034,2.8485546112060547,5.445682525634766,
sd1042,source_training_only_p95,upper_tail,1773,93.79582628313592,2.851095676422119,4.333367824554443,10.580439745930407
sd1042,source_training_only_p95,non_upper_tail,9033,85.30942101184546,2.848055839538574,5.664008140563965,10.580439745930407
sd1091,not_applicable,overall,7032,90.34414106939704,2.15749192237854,3.410430192947388,
sd1091,source_training_only_p95,upper_tail,0,,,,10.580439745930407
sd1091,source_training_only_p95,non_upper_tail,7032,90.34414106939704,2.15749192237854,3.410430192947388,10.580439745930407
target_mean,not_applicable,overall,17838,88.52298669238868,2.5030232667922974,4.428056359291077,
target_mean,source_training_only_p95,non_upper_tail,16065,87.82678104062126,2.502773880958557,4.537219166755676,10.580439745930407
target_mean,source_training_only_p95,upper_tail,1773,,,,10.580439745930407
