variant,seed,target,checkpoint,prediction_path,parameter_count,count,ws_rmse,ws_mae,wd_mae,r2,learned_bound_u,learned_bound_v
full_real_imag,42,sd1042,not_released,not_released,512595.0,21858.0,1.0810753107070923,0.7514767050743103,10.32870864868164,0.8861464262008667,,
magnitude_only_strict_zero_phase,42,sd1042,not_released,not_released,512595.0,21858.0,1.0760836601257324,0.750033974647522,10.404623031616213,0.887195385992527,4.0,4.0
no_fft,42,sd1042,not_released,not_released,512595.0,21858.0,1.0539852380752563,0.7138301134109497,10.34803295135498,0.8917809128761292,,
full_real_imag,42,sd1091,not_released,not_released,512595.0,14304.0,0.7164046168327332,0.48495128750801086,6.970454216003418,0.862482026219368,,
magnitude_only_strict_zero_phase,42,sd1091,not_released,not_released,512595.0,14304.0,0.7573202252388,0.5176353454589844,7.360536575317383,0.846325471997261,4.0,4.0
no_fft,42,sd1091,not_released,not_released,512595.0,14304.0,0.7750860452651978,0.512501060962677,7.237860679626465,0.8390308767557144,,
full_real_imag,43,sd1042,not_released,not_released,512595.0,21858.0,1.0521939992904663,0.7196699380874634,10.085587501525879,0.8921484276652336,,
magnitude_only_strict_zero_phase,43,sd1042,not_released,not_released,512595.0,21858.0,1.0763428211212158,0.7448588013648987,10.24978733062744,0.8871410340070724,4.0,4.0
no_fft,43,sd1042,not_released,not_released,512595.0,21858.0,1.0519368648529053,0.7100409269332886,10.292984008789062,0.8922011405229568,,
full_real_imag,43,sd1091,not_released,not_released,512595.0,14304.0,0.7281348705291748,0.4921816885471344,7.014504432678223,0.8579417765140533,,
magnitude_only_strict_zero_phase,43,sd1091,not_released,not_released,512595.0,14304.0,0.7779281735420227,0.5298366546630859,7.47920036315918,0.8378482162952423,4.0,4.0
no_fft,43,sd1091,not_released,not_released,512595.0,14304.0,0.7747403383255005,0.5132496356964111,7.314008712768555,0.839174434542656,,
full_real_imag,44,sd1042,not_released,not_released,512595.0,21858.0,1.0579590797424316,0.7312202453613281,10.219396591186523,0.8909633308649063,,
magnitude_only_strict_zero_phase,44,sd1042,not_released,not_released,512595.0,21858.0,1.1010560989379885,0.7723369002342224,10.302763938903809,0.8818989545106888,4.0,4.0
no_fft,44,sd1042,not_released,not_released,512595.0,21858.0,1.0480767488479614,0.7081829309463501,10.231527328491211,0.8929908275604248,,
full_real_imag,44,sd1091,not_released,not_released,512595.0,14304.0,0.7323763966560364,0.49591073393821716,7.1035990715026855,0.8562819361686707,,
magnitude_only_strict_zero_phase,44,sd1091,not_released,not_released,512595.0,14304.0,0.7450110912322998,0.5052135586738586,7.206933975219727,0.8512804061174393,4.0,4.0
no_fft,44,sd1091,not_released,not_released,512595.0,14304.0,0.7720046639442444,0.5169928073883057,7.422556400299072,0.8403082191944122,,
full_real_imag,45,sd1042,not_released,not_released,512595.0,21858.0,1.0554461479187012,0.7220067977905273,10.117679595947266,0.8914807215332985,,
magnitude_only_strict_zero_phase,45,sd1042,not_released,not_released,512595.0,21858.0,1.0596144199371338,0.726510763168335,10.406190872192385,0.8906218633055687,4.0,4.0
no_fft,45,sd1042,not_released,not_released,512595.0,21858.0,1.0609525442123413,0.7258324027061462,10.379448890686035,0.8903454393148422,,
full_real_imag,45,sd1091,not_released,not_released,512595.0,14304.0,0.7184280753135681,0.4880060851573944,6.977467060089111,0.861704096198082,,
magnitude_only_strict_zero_phase,45,sd1091,not_released,not_released,512595.0,14304.0,0.736028254032135,0.4993734955787658,7.422865867614746,0.8548450917005539,4.0,4.0
no_fft,45,sd1091,not_released,not_released,512595.0,14304.0,0.7729310393333435,0.5124750137329102,7.26380729675293,0.8399247527122498,,
full_real_imag,46,sd1042,not_released,not_released,512595.0,21858.0,1.0552384853363037,0.716543436050415,10.142930030822754,0.8915234059095383,,
magnitude_only_strict_zero_phase,46,sd1042,not_released,not_released,512595.0,21858.0,1.051854372024536,0.7231448292732239,10.254520416259766,0.8922180458903313,4.0,4.0
no_fft,46,sd1042,not_released,not_released,512595.0,21858.0,1.0762654542922974,0.7361699342727661,10.180049896240234,0.8871572613716125,,
full_real_imag,46,sd1091,not_released,not_released,512595.0,14304.0,0.724479615688324,0.4910176396369934,7.211064338684082,0.859364464879036,,
