Variant,Mean Test WS-RMSE_mean,Mean Test WS-RMSE_std,Mean Test WS-MAE_mean,Mean Test WS-MAE_std,Mean Test WD-MAE_mean,Mean Test WD-MAE_std,one_sided_sign_p_vs_mamba
EdgeWind-Mamba,0.9009310925735207,0.0028311134689772166,0.6168278500603409,0.0034491382319553595,8.718831439953934,0.09526809433294503,
EdgeWind-TransformerSwap,0.8822094012660534,0.004941056347534962,0.5965402339952475,0.002820913647680411,8.455971866147424,0.048328588401903745,0.03125
