Loss Function,Mean WS-RMSE_mean,Mean WS-RMSE_std,Mean WD-MAE_mean,Mean WD-MAE_std,Mean Extreme WS-RMSE_mean,Mean Extreme WS-RMSE_std,Mean R^2_mean,Mean R^2_std
SmoothL1 + Dir-Cos,0.8965999259757499,0.00848902035946318,8.699290525387969,0.143231071362771,1.5974297710872496,0.013649691898009795,0.8731069164303582,0.0037131977166971327
SmoothL1 + Dir-L1,0.8892854766498726,0.003855915992111992,8.574003318504117,0.03363781065866992,1.5591006548026463,0.025236602172117283,0.8756633965559975,0.001178525719975948
SmoothL1 + High-Wind + Dir-Cos,0.8959616710948379,0.009750286595599,8.711286146616981,0.08709054361173024,1.5483928486064875,0.04835434119305027,0.8739051756907932,0.0025054388165767403
