variant_key,variant_name,ws_rmse_mean,ws_rmse_std,ws_mae_mean,ws_mae_std,wd_mae_mean,wd_mae_std,r2_mean,r2_std,ws_rmse_text,ws_mae_text,wd_mae_text,r2_text,ws_rmse_delta_vs_full,ws_rmse_wilcoxon_p_vs_full,ws_mae_delta_vs_full,ws_mae_wilcoxon_p_vs_full,wd_mae_delta_vs_full,wd_mae_wilcoxon_p_vs_full,r2_delta_vs_full,r2_wilcoxon_p_vs_full
mlp_decoder,MLP Decoder,0.8849118330357462,0.005320748988979795,0.5985332922532457,0.0031808998222584207,8.504349406387409,0.057748213901079,0.8760917307258935,0.0018334427770434038,0.885 +/- 0.005,0.599 +/- 0.003,8.504 +/- 0.058,0.876 +/- 0.002,-0.004905445399827202,0.1875,-0.008622976236950075,0.0625,-0.17192664179901698,0.0625,0.0006686306910403062,0.8125
full,Full EdgeWind-Mamba,0.8898172784355733,0.0027337858056444477,0.6071562684901959,0.0026511779184095487,8.676276048186427,0.09642169204266815,0.8754231000348532,0.0008263072444933075,0.890 +/- 0.003,0.607 +/- 0.003,8.676 +/- 0.096,0.875 +/- 0.001,0.0,,0.0,,0.0,,0.0,
wo_boat_embedding,w/o Vessel Embedding,0.894923603475266,0.010109211040800052,0.609162708715391,0.00993076910402603,8.599231750705865,0.10389798959329663,0.873951499755429,0.002398592096503843,0.895 +/- 0.010,0.609 +/- 0.010,8.599 +/- 0.104,0.874 +/- 0.002,0.005106325039692772,0.625,0.0020064402251951828,1.0,-0.07704429748056185,0.4375,-0.0014716002794242344,0.3125
wo_gated_fusion,w/o Gated Fusion,0.9017859356593405,0.012801049540153472,0.616227201968222,0.010947302968037016,8.64450596946575,0.02739099186002054,0.8719466769402011,0.0037100523413930147,0.902 +/- 0.013,0.616 +/- 0.011,8.645 +/- 0.027,0.872 +/- 0.004,0.01196865722376721,0.0625,0.009070933478026144,0.0625,-0.03177007872067783,0.8125,-0.003476423094652037,0.125
wo_fft,w/o FFT Branch,0.9133704452562063,0.002602434768107043,0.6152020644405624,0.003786792278573763,8.813562817963735,0.014633037320293363,0.8663108515640549,0.0014403322573130384,0.913 +/- 0.003,0.615 +/- 0.004,8.814 +/- 0.015,0.866 +/- 0.001,0.023553166820632975,0.0625,0.008045795950366497,0.0625,0.13728676977730886,0.0625,-0.009112248470798324,0.0625
wo_persistence,w/o Persistence Prior,0.9800461973336271,0.025439421105175854,0.7005655175501193,0.024688640302196845,9.767130687955031,0.5340356612492165,0.8548486239547657,0.006497471845485964,0.980 +/- 0.025,0.701 +/- 0.025,9.767 +/- 0.534,0.855 +/- 0.006,0.09022891889805378,0.0625,0.09340924905992347,0.0625,1.0908546397686056,0.0625,-0.020574476080087577,0.0625
