seed,model,ws_rmse,ws_mae,wd_mae
42,EdgeWind-Mamba,0.898739939728876,0.618213952853875,8.649581775691603
42,Autoformer,0.9714308441280428,0.7009766329902877,10.283866793447533
42,BP,1.1863552801600794,0.9205558104082829,10.403569838081477
42,CNN-LSTM,0.9601952231529591,0.6954711405288879,20.115874345789717
42,Informer,1.0091554295351108,0.7391615909813075,10.532363769252418
42,Standard Mamba,0.9992610788093966,0.7093662620350998,10.740056162813582
42,Standard Transformer,1.0332299974431778,0.7342208877021033,10.051670193879717
42,TCN-LSTM (SOTA),1.023168994732042,0.7170290115606068,9.888744795779974
42,TimesNet,0.9997519549350852,0.7104216519434229,9.62414589523916
43,EdgeWind-Mamba,0.8901644281199244,0.6059258256574955,8.55004609573632
43,Autoformer,1.0483091013043322,0.756479539551841,9.14927462753332
43,BP,0.9737831371705727,0.715952763581176,9.953066069485166
43,CNN-LSTM,1.0681337896014673,0.777823570527881,16.82461322765482
43,Informer,0.9817722985251404,0.7121918532626883,10.101881063253987
43,Standard Mamba,0.9907217605456062,0.712750145029496,10.034030020849954
43,Standard Transformer,0.9673571118145,0.6921746270085953,9.697718442001102
43,TCN-LSTM (SOTA),0.9666050593178419,0.6906829593716187,10.014139457860985
43,TimesNet,1.0264260108742866,0.7378133754514293,9.453247530723235
44,EdgeWind-Mamba,0.8951677603913406,0.6135654717839555,8.66149830739861
44,Autoformer,0.9735229103278393,0.6878691940978469,9.296411041373858
44,BP,0.9985772096391357,0.7313152355334486,9.795488085276192
44,CNN-LSTM,1.011857981688027,0.7133732027878903,17.90837611791144
44,Informer,0.98695274172391,0.7134508113411263,9.502405503098132
44,Standard Mamba,0.9973453124191893,0.7128042937943793,10.653663622358035
44,Standard Transformer,0.9787248347367794,0.7067939146731411,9.529176695202981
44,TCN-LSTM (SOTA),0.9662665879988339,0.6808997065550514,9.936523619749941
44,TimesNet,1.0227201696663921,0.7184889508120292,9.753999841557064
45,EdgeWind-Mamba,0.8869370857456728,0.6050064289186866,8.54757348570492
45,Autoformer,0.9523928128215771,0.671848891386696,9.532624212843814
45,BP,1.0193269563867635,0.7628745070582955,9.697705408152554
45,CNN-LSTM,1.1264917503964378,0.8362456162508514,19.16918103089848
45,Informer,0.9939000723184441,0.7297712893397666,9.734223385896449
45,Standard Mamba,0.9905031366484873,0.7143121485477142,9.816288638761378
45,Standard Transformer,0.9912883559527428,0.7154799245956031,9.860783415119798
45,TCN-LSTM (SOTA),0.9530045785437506,0.6763846659284268,10.165443882312523
45,TimesNet,1.0484453195980277,0.740247644971477,9.508369439915064
46,EdgeWind-Mamba,0.8898590360945962,0.6037805402593925,8.676996949510931
46,Autoformer,0.9628080546052904,0.6877239594471929,9.614913399784026
46,BP,1.01477741670017,0.7605820197223343,9.813269758049
46,CNN-LSTM,1.1527957906370432,0.8634511437971037,19.6787351975127
46,Informer,1.0005548008530325,0.7136721005158919,10.209414500235633
46,Standard Mamba,0.9722587594855585,0.6875370265926599,10.127326638376587
46,Standard Transformer,0.979795739503978,0.6986941638773014,9.506960214895862
46,TCN-LSTM (SOTA),1.0095307957418906,0.7140122464136911,11.005123901560568
46,TimesNet,1.0056907148188137,0.7231962141862034,9.619320474739006
