seed,variant_key,variant_name,target,test_ws_rmse,test_ws_mae,test_wd_mae,test_extreme_ws_rmse,test_r2
42,full,Full EdgeWind-Mamba,sd1042,1.0620908756662502,0.7236996264217299,10.14901425402384,,0.8901100086451749
42,full,Full EdgeWind-Mamba,sd1091,0.7235253718728304,0.4898863137435059,7.04861634529677,,0.859734607516801
43,full,Full EdgeWind-Mamba,sd1042,1.0555326706265669,0.7252571426379036,10.09576610921559,,0.8914629174755282
43,full,Full EdgeWind-Mamba,sd1091,0.7297232081823133,0.4968844516165304,7.194262374434162,,0.8573212425157892
44,full,Full EdgeWind-Mamba,sd1042,1.0525761250711998,0.7202885652441415,10.127184638624517,,0.8920700903747872
44,full,Full EdgeWind-Mamba,sd1091,0.7233684165394642,0.488132157848452,7.039141371212816,,0.859795456837025
45,full,Full EdgeWind-Mamba,sd1042,1.049931749949232,0.7249583648254412,10.226665448309117,,0.892611711353139
45,full,Full EdgeWind-Mamba,sd1091,0.7276533344170434,0.4915048900066606,7.279302012467011,,0.858129516566332
46,full,Full EdgeWind-Mamba,sd1042,1.0541723201354514,0.721631157877068,10.229719663388405,,0.8917424982679489
46,full,Full EdgeWind-Mamba,sd1091,0.7195987118953814,0.4893200146805253,7.373088264892032,,0.8612529507960069
42,wo_fft,w/o FFT Branch,sd1042,1.0539852493686834,0.7138301686361883,10.348034269779836,1.0907173697946528,0.8917809004812908
42,wo_fft,w/o FFT Branch,sd1091,0.7750860877838688,0.5125010925651396,7.237861180998868,1.9281055385569863,0.8390308602018478
42,wo_persistence,w/o Persistence Prior,sd1042,1.196623734228904,0.8880015940513056,12.30203467107384,1.378651247178514,0.8605077514023327
42,wo_persistence,w/o Persistence Prior,sd1091,0.7227044776596876,0.5004409578289228,7.454004364525712,1.9667788633843264,0.8600527944934828
42,wo_boat_embedding,w/o Vessel Embedding,sd1042,1.0545222446731288,0.7172487265717482,10.092492556547963,1.1295263587068782,0.8916705992178309
42,wo_boat_embedding,w/o Vessel Embedding,sd1091,0.7304569626733469,0.4960185033362984,7.060935637028159,1.9842302164439904,0.8570342502864232
42,wo_gated_fusion,w/o Gated Fusion,sd1042,1.0631497269740866,0.7322181347729968,10.184791171918338,1.1653208656232017,0.8898907729354603
42,wo_gated_fusion,w/o Gated Fusion,sd1091,0.7227076596529897,0.4891839142080388,7.074213155964077,2.063136216978381,0.8600515621445362
42,mlp_decoder,MLP Decoder,sd1042,1.0442702467171263,0.7075442143901944,10.083860369589903,1.0920781545231848,0.893766703391718
42,mlp_decoder,MLP Decoder,sd1091,0.734907019837023,0.4952194034653222,6.969747069698052,2.082043001810943,0.855287005141577
